position_ba,lastname,firstname,nationality,age,dob,wst_rider_id,fis_code,number_of_results_ba,points_ba,concat_id,gender,created_at,updated_at
1,Corning,Chris,USA,21,9/7/99 0:00,90901,9531130,3 / (6),818.37,chriscorningusa,m,11/21/20 8:22,11/21/20 8:22
2,Laframboise,Nicolas,CAN,20,4/10/00 0:00,92867,9101080,3 / (6),776.32,nicolaslaframboisecan,m,11/21/20 8:22,11/21/20 8:22
3,Parrot,Max,CAN,26,6/6/94 0:00,83656,9100565,3 / (4),733.33,maxparrotcan,m,11/21/20 8:22,11/21/20 8:22
4,Kimata,Ryoma,JPN,18,7/24/02 0:00,91175,9300804,3 / (6),714.75,ryomakimatajpn,m,11/21/20 8:22,11/21/20 8:22
5,McMorris,Mark,CAN,26,12/9/93 0:00,78481,9100228,3 / (6),710.53,markmcmorriscan,m,11/21/20 8:22,11/21/20 8:22
6,Thorgren,Sven,SWE,26,10/4/94 0:00,75853,9500105,3 / (5),626.07,sventhorgrenswe,m,11/21/20 8:22,11/21/20 8:22
7,Huber,Nicolas,SUI,25,1/14/95 0:00,86955,9510438,3 / (10),591.62,nicolashubersui,m,11/21/20 8:22,11/21/20 8:22
8,Jarvilehto,Kalle,FIN,25,7/21/95 0:00,82408,9180120,3 / (6),571.75,kallejarvilehtofin,m,11/21/20 8:22,11/21/20 8:22
9,Henkes,Justus,USA,19,4/3/01 0:00,82666,9531241,3 / (3),518.58,justushenkesusa,m,11/21/20 8:22,11/21/20 8:22
10,Gauger,Wendelin,SUI,20,3/16/00 0:00,86579,9510403,3 / (5),511.36,wendelingaugersui,m,11/21/20 8:22,11/21/20 8:22
11,Mekinc,Naj,SLO,,,91345,9560205,3 / (11),502.42,najmekincslo,m,11/21/20 8:22,11/21/20 8:22
12,Kawakami,Aoto,JPN,16,7/12/04 0:00,90215,9300911,3 / (4),496.11,aotokawakamijpn,m,11/21/20 8:22,11/21/20 8:22
13,Tobita,Ruki,JPN,21,5/7/99 0:00,92065,9300723,3 / (3),495.12,rukitobitajpn,m,11/21/20 8:22,11/21/20 8:22
14,Sharpe,Darcy,CAN,24,2/9/96 0:00,81099,9100445,3 / (6),494.9,darcysharpecan,m,11/21/20 8:22,11/21/20 8:22
15,Fitzsimons,Sean,USA,20,9/22/00 0:00,82777,9531194,3 / (4),482.25,seanfitzsimonsusa,m,11/21/20 8:22,11/21/20 8:22
16,Boesiger,Jonas,SUI,25,4/5/95 0:00,80754,9510288,3 / (6),468,jonasboesigersui,m,11/21/20 8:22,11/21/20 8:22
17,Gerard,Redmond,USA,20,6/29/00 0:00,82704,9531135,3 / (3),464.7,redmondgerardusa,m,11/21/20 8:22,11/21/20 8:22
18,Boll,Moritz,SUI,20,7/8/00 0:00,86577,9510387,3 / (7),452.75,moritzbollsui,m,11/21/20 8:22,11/21/20 8:22
19,Milenkovic,Matija,SRB,19,2/23/01 0:00,92999,9310011,3 / (17),447.62,matijamilenkovicsrb,m,11/21/20 8:22,11/21/20 8:22
20,Lauzi,Emiliano,ITA,26,9/22/94 0:00,80711,9290268,3 / (4),446.36,emilianolauziita,m,11/21/20 8:22,11/21/20 8:22
21,Valax,Enzo,FRA,20,10/27/00 0:00,92084,9190422,3 / (12),436.01,enzovalaxfra,m,11/21/20 8:22,11/21/20 8:22
22,Cox,Matthew,AUS,22,6/9/98 0:00,75364,9040200,3 / (5),433.92,matthewcoxaus,m,11/21/20 8:22,11/21/20 8:22
23,Konijnenberg,Sebastien,FRA,23,8/18/97 0:00,87631,9190322,3 / (10),430.74,sebastienkonijnenbergfra,m,11/21/20 8:22,11/21/20 8:22
24,Winkelmann,Luke,USA,19,12/18/00 0:00,90894,9531163,3 / (3),420.27,lukewinkelmannusa,m,11/21/20 8:22,11/21/20 8:22
25,Otsuka,Takeru,JPN,19,4/2/01 0:00,89562,9300781,3 / (3),419.85,takeruotsukajpn,m,11/21/20 8:22,11/21/20 8:22
26,Stassel,Ryan,USA,28,10/23/92 0:00,74792,9530618,3 / (3),419.52,ryanstasselusa,m,11/21/20 8:22,11/21/20 8:22
27,Smits,Seppe,BEL,29,7/13/91 0:00,70756,1064997,3 / (7),418.36,seppesmitsbel,m,11/21/20 8:22,11/21/20 8:22
28,Amsuess,Moritz,AUT,22,11/15/98 0:00,87375,9050254,3 / (3),409.19,moritzamsuessaut,m,11/21/20 8:22,11/21/20 8:22
29,Henricksen,Dusty,USA,,,97763,9531369,3 / (5),401.13,dustyhenricksenusa,m,11/21/20 8:22,11/21/20 8:22
30,Matveev,Mikhail,RUS,24,5/22/96 0:00,81947,9480456,3 / (5),400.23,mikhailmatveevrus,m,11/21/20 8:22,11/21/20 8:22
31,Brcic,Dante,CRO,,,91715,9380038,3 / (13),375.7,dantebrciccro,m,11/21/20 8:22,11/21/20 8:22
32,Liviero,Nicola,ITA,21,4/23/99 0:00,86560,9290314,3 / (7),367.75,nicolalivieroita,m,11/21/20 8:22,11/21/20 8:22
33,Canter,Jake,USA,17,7/19/03 0:00,90895,9531350,3 / (4),366.01,jakecanterusa,m,11/21/20 8:22,11/21/20 8:22
34,Brearley,Liam,CAN,17,2/27/03 0:00,87932,9101066,3 / (5),347.57,liambrearleycan,m,11/21/20 8:22,11/21/20 8:22
