position_hp,lastname,firstname,nationality,age,dob,WST Rider ID,fis code,number_of_results_hp,points_hp,concat_id,gender,created_at,updated_at
1,James,Scotty,AUS,26,7/6/94 0:00,74836,9040117,3 / (7),900,scottyjamesaus,m,11/21/20 8:22,11/21/20 8:22
2,Totsuka,Yuto,JPN,,,81763,9300752,3 / (7),876.24,yutototsukajpn,m,11/21/20 8:22,11/21/20 8:22
3,Hirano,Ruka,JPN,,,91295,9300799,3 / (6),792.84,rukahiranojpn,m,11/21/20 8:22,11/21/20 8:22
4,Scherrer,Jan,SUI,26,7/11/94 0:00,63890,9510228,3 / (8),763.87,janscherrersui,m,11/21/20 8:22,11/21/20 8:22
5,Katayama,Raibu,JPN,25,5/4/95 0:00,83805,9300545,3 / (3),753.97,raibukatayamajpn,m,11/21/20 8:22,11/21/20 8:22
6,Burgener,Patrick,SUI,26,6/1/94 0:00,72989,9510239,3 / (7),720.2,patrickburgenersui,m,11/21/20 8:22,11/21/20 8:22
7,Gold,Taylor,USA,27,11/17/93 0:00,76866,9530459,3 / (6),647.58,taylorgoldusa,m,11/21/20 8:22,11/21/20 8:22
8,Anai,Ikko,JPN,22,12/17/97 0:00,82290,9300617,3 / (4),635.99,ikkoanaijpn,m,11/21/20 8:22,11/21/20 8:22
9,Hoeflich,Andre,GER,23,4/28/97 0:00,81378,9200110,3 / (9),630.32,andrehoeflichger,m,11/21/20 8:22,11/21/20 8:22
10,Josey,Chase,USA,25,3/31/95 0:00,78302,9530715,3 / (6),595.23,chasejoseyusa,m,11/21/20 8:22,11/21/20 8:22
11,Blackwell,Chase,USA,21,2/27/99 0:00,85114,9531125,3 / (7),532.39,chaseblackwellusa,m,11/21/20 8:22,11/21/20 8:22
12,Hirano,Kaishu,JPN,,,95889,9300803,3 / (6),530.94,kaishuhiranojpn,m,11/21/20 8:22,11/21/20 8:22
