position_ss,lastname,firstname,nationality,age,dob,wst_rider_id,fis_code,number_of_results_ss,points_ss,concat_id,gender,created_at,updated_at
1,Gerard,Redmond,USA,20,6/29/00 0:00,82704,9531135,3 / (4),882.98,redmondgerardusa,m,11/21/20 8:22,11/21/20 8:22
2,Henricksen,Dusty,USA,,,97763,9531369,3 / (10),802.33,dustyhenricksenusa,m,11/21/20 8:22,11/21/20 8:22
3,Sharpe,Darcy,CAN,24,2/9/96 0:00,81099,9100445,3 / (5),712.43,darcysharpecan,m,11/21/20 8:22,11/21/20 8:22
4,Sandbech,Staale,NOR,27,6/3/93 0:00,74165,9420072,3 / (8),694.09,staalesandbechnor,m,11/21/20 8:22,11/21/20 8:22
5,Henkes,Justus,USA,19,4/3/01 0:00,82666,9531241,3 / (8),690.63,justushenkesusa,m,11/21/20 8:22,11/21/20 8:22
6,Farrell,Lyon,USA,21,11/22/98 0:00,88493,9531213,3 / (10),677.55,lyonfarrellusa,m,11/21/20 8:22,11/21/20 8:22
7,Crouch,Brock,USA,21,8/22/99 0:00,80857,9531095,3 / (4),671.53,brockcrouchusa,m,11/21/20 8:22,11/21/20 8:22
8,Thorgren,Sven,SWE,26,10/4/94 0:00,75853,9500105,3 / (6),620.76,sventhorgrenswe,m,11/21/20 8:22,11/21/20 8:22
9,Corning,Chris,USA,21,9/7/99 0:00,90901,9531130,3 / (4),613.58,chriscorningusa,m,11/21/20 8:22,11/21/20 8:22
10,McMorris,Mark,CAN,26,12/9/93 0:00,78481,9100228,3 / (5),610.91,markmcmorriscan,m,11/21/20 8:22,11/21/20 8:22
11,Kunitake,Hiroaki,JPN,18,2/10/02 0:00,95166,,3 / (9),608.87,hiroakikunitakejpn,m,11/21/20 8:22,11/21/20 8:22
12,Winkelmann,Luke,USA,19,12/18/00 0:00,90894,9531163,3 / (9),595.43,lukewinkelmannusa,m,11/21/20 8:22,11/21/20 8:22
13,Tobita,Ruki,JPN,21,5/7/99 0:00,92065,9300723,3 / (6),589.94,rukitobitajpn,m,11/21/20 8:22,11/21/20 8:22
14,Roisland,Mons,NOR,23,1/28/97 0:00,82747,9420133,3 / (6),561.65,monsroislandnor,m,11/21/20 8:22,11/21/20 8:22
