position_ba,lastname,firstname,nationality,age,dob,wst_rider_id,fis_code,number_of_results_ba,points_ba,concat_id,gender,created_at,updated_at
1,Onitsuka,Miyabi,JPN,22,10/12/98 0:00,86188,9305286,3 / (5),948.1,miyabionitsukajpn,f,11/21/20 17:16,11/21/20 17:16
2,Gasser,Anna,AUT,28,8/16/92 0:00,81369,9055068,3 / (5),907.7,annagasseraut,f,11/21/20 17:16,11/21/20 17:16
3,Iwabuchi,Reira,JPN,18,12/14/01 0:00,81781,9305338,3 / (5),881.6,reiraiwabuchijpn,f,11/21/20 17:16,11/21/20 17:16
4,Murase,Kokomo,JPN,16,11/7/04 0:00,91154,9305415,3 / (5),777.67,kokomomurasejpn,f,11/21/20 17:16,11/21/20 17:16
5,Blouin,Laurie,CAN,24,4/7/96 0:00,84387,9105246,3 / (7),736.88,laurieblouincan,f,11/21/20 17:16,11/21/20 17:16
6,Marino,Julia,USA,23,9/11/97 0:00,83195,9535365,3 / (5),675.66,juliamarinousa,f,11/21/20 17:16,11/21/20 17:16
7,Voigt,Brooke,CAN,27,11/17/93 0:00,78472,9105100,3 / (5),666.61,brookevoigtcan,f,11/21/20 17:16,11/21/20 17:16
8,Boesch,Lia-Mara,SUI,26,9/3/94 0:00,86595,9515157,3 / (7),633.31,lia-maraboeschsui,f,11/21/20 17:16,11/21/20 17:16
9,Anderson,Jamie,USA,30,9/13/90 0:00,17575,9535078,3 / (7),575.64,jamieandersonusa,f,11/21/20 17:16,11/21/20 17:16
10,Morgan,Annika,GER,18,2/12/02 0:00,88774,9205078,3 / (7),557.61,annikamorganger,f,11/21/20 17:16,11/21/20 17:16
11,Silvestre,Lucie,FRA,,,84726,9195196,3 / (6),535.78,luciesilvestrefra,f,11/21/20 17:16,11/21/20 17:16
12,Ormerod,Katie,GBR,23,8/25/97 0:00,72369,1229991,3 / (5),531.2,katieormerodgbr,f,11/21/20 17:16,11/21/20 17:16
13,Sadowski Synnott,Zoi,NZL,19,3/6/01 0:00,94322,9415033,3 / (4),517.92,zoisadowski synnottnzl,f,11/21/20 17:16,11/21/20 17:16
14,Pancochova,Sarka,CZE,30,11/1/90 0:00,74989,1159968,3 / (3),494.97,sarkapancochovacze,f,11/21/20 17:16,11/21/20 17:16
15,Asanuma,Hinari,JPN,,,83838,9305386,3 / (3),460.49,hinariasanumajpn,f,11/21/20 17:16,11/21/20 17:16
16,Rukajarvi,Enni,FIN,30,5/13/90 0:00,75256,9185019,3 / (5),457.24,ennirukajarvifin,f,11/21/20 17:16,11/21/20 17:16
17,Medlova,Klaudia,SVK,27,10/26/93 0:00,81727,1709938,3 / (5),452.39,klaudiamedlovasvk,f,11/21/20 17:16,11/21/20 17:16
18,Jugovac,Lea,CRO,26,11/7/94 0:00,86375,1389930,3 / (9),449.35,leajugovaccro,f,11/21/20 17:16,11/21/20 17:16
