position_hp,lastname,firstname,nationality,age,dob,WST Rider ID,fis code,number_of_results_hp,points_hp,concat_id,gender,created_at,updated_at
1,Cai,Xuetong,CHN,27,9/26/93 0:00,79864,1129975,3 / (8),1000,xuetongcaichn,f,11/21/20 17:16,11/21/20 17:16
2,Castellet,Queralt,ESP,31,6/17/89 0:00,75419,1499921,3 / (8),966.67,queraltcastelletesp,f,11/21/20 17:16,11/21/20 17:16
3,Liu,Jiayu,CHN,28,9/17/92 0:00,77457,1129974,3 / (6),903.43,jiayuliuchn,f,11/21/20 17:16,11/21/20 17:16
4,Mastro,Maddie,USA,20,2/22/00 0:00,77905,9535389,3 / (8),843.47,maddiemastrousa,f,11/21/20 17:16,11/21/20 17:16
5,Tomita,Sena,JPN,21,10/5/99 0:00,81785,9305313,3 / (5),768.27,senatomitajpn,f,11/21/20 17:16,11/21/20 17:16
6,Imai,Kurumi,JPN,21,9/24/99 0:00,84354,9305315,3 / (6),742.33,kurumiimaijpn,f,11/21/20 17:16,11/21/20 17:16
7,Ono,Mitsuki,JPN,,,91506,9305411,3 / (8),730.52,mitsukionojpn,f,11/21/20 17:16,11/21/20 17:16
8,Gold,Arielle,USA,24,5/4/96 0:00,76874,9535287,3 / (3),719.73,ariellegoldusa,f,11/21/20 17:16,11/21/20 17:16
9,Tomita,Ruki,JPN,,,81778,9305337,3 / (9),719.4,rukitomitajpn,f,11/21/20 17:16,11/21/20 17:16
10,Wu,Shaotong,CHN,,,92443,9125004,3 / (9),713.67,shaotongwuchn,f,11/21/20 17:16,11/21/20 17:16
11,Matsumoto,Haruna,JPN,27,7/26/93 0:00,76642,9305166,3 / (8),692.56,harunamatsumotojpn,f,11/21/20 17:16,11/21/20 17:16
12,Rohrer,Verena,SUI,24,4/8/96 0:00,82499,9515128,3 / (6),596.97,verenarohrersui,f,11/21/20 17:16,11/21/20 17:16
13,Qiu,Leng,CHN,,,92442,9125003,3 / (6),555.72,lengqiuchn,f,11/21/20 17:16,11/21/20 17:16
14,Hosking,Elizabeth,CAN,19,7/22/01 0:00,87908,9105347,3 / (2),527.76,elizabethhoskingcan,f,11/21/20 17:16,11/21/20 17:16
15,Ettel,Leilani,GER,19,7/5/01 0:00,88773,9205072,3 / (9),510.15,leilaniettelger,f,11/21/20 17:16,11/21/20 17:16
16,Kaji,Manon,JPN,,,98108,9305404,3 / (4),480.29,manonkajijpn,f,11/21/20 17:16,11/21/20 17:16
17,Tamada,Takara,JPN,,,89491,9305310,3 / (6),465.13,takaratamadajpn,f,11/21/20 17:16,11/21/20 17:16
18,Maud,Tessa,USA,,,95320,9535486,3 / (9),464.77,tessamaudusa,f,11/21/20 17:16,11/21/20 17:16
19,Wicki,Berenice,SUI,18,9/24/02 0:00,85772,9515179,3 / (5),460.98,berenicewickisui,f,11/21/20 17:16,11/21/20 17:16
20,Dhondt,Brooke,CAN,15,3/9/05 0:00,93624,,3 / (9),457.85,brookedhondtcan,f,11/21/20 17:16,11/21/20 17:16
21,Kalapos,Zoe,USA,23,4/17/97 0:00,84471,9535344,3 / (7),444,zoekalaposusa,f,11/21/20 17:16,11/21/20 17:16
22,Simsovits,Alexandria,USA,,,96994,9535536,3 / (9),423.38,alexandriasimsovitsusa,f,11/21/20 17:16,11/21/20 17:16
23,Schuetz,Elena,SUI,17,4/26/03 0:00,91723,9515192,3 / (5),403.79,elenaschuetzsui,f,11/21/20 17:16,11/21/20 17:16
24,Alba,Sonora,USA,,,96995,,3 / (7),362.9,sonoraalbausa,f,11/21/20 17:16,11/21/20 17:16
25,Wang,Jianjie,CHN,,,98670,9125040,3 / (6),362.35,jianjiewangchn,f,11/21/20 17:16,11/21/20 17:16
26,Kamata,Ayako,JPN,,,87723,9305327,3 / (4),360.03,ayakokamatajpn,f,11/21/20 17:16,11/21/20 17:16
27,Loetscher,Isabelle,SUI,,,88803,9515197,3 / (5),356.41,isabelleloetschersui,f,11/21/20 17:16,11/21/20 17:16
28,Wang,Jingjing,CHN,,,96063,9125017,3 / (4),354.77,jingjingwangchn,f,11/21/20 17:16,11/21/20 17:16
29,Kakubari,Misaki,JPN,,,83835,9305344,3 / (3),346.21,misakikakubarijpn,f,11/21/20 17:16,11/21/20 17:16
30,White,Kinsley,USA,,,86544,9535485,3 / (9),336.72,kinsleywhiteusa,f,11/21/20 17:16,11/21/20 17:16
31,Obregon,Taylor,USA,23,12/2/96 0:00,83924,9535385,3 / (6),330.65,taylorobregonusa,f,11/21/20 17:16,11/21/20 17:16
32,Comeau,Athena,USA,,,97649,,3 / (10),317.75,athenacomeauusa,f,11/21/20 17:16,11/21/20 17:16
33,Shafer,Kaili,USA,,,88165,9535441,3 / (8),303.1,kailishaferusa,f,11/21/20 17:16,11/21/20 17:16
34,Gisler,Bianca,SUI,17,2/15/03 0:00,93678,9515199,3 / (3),295.24,biancagislersui,f,11/21/20 17:16,11/21/20 17:16
35,Black,Margie,USA,,,96505,9535502,3 / (7),285.88,margieblackusa,f,11/21/20 17:16,11/21/20 17:16
36,Spiteri,Jenise,MLT,28,9/20/92 0:00,83071,9535341,3 / (3),275.36,jenisespiterimlt,f,11/21/20 17:16,11/21/20 17:16
37,Arthur,Emily,AUS,21,4/24/99 0:00,75465,9045073,3 / (3),267.43,emilyarthuraus,f,11/21/20 17:16,11/21/20 17:16
38,Lee,Na-Yoon,KOR,,,97550,,3 / (11),258.75,na-yoonleekor,f,11/21/20 17:16,11/21/20 17:16
