position_ss,lastname,firstname,nationality,age,dob,wst_rider_id,fis_code,number_of_results_ss,points_ss,concat_id,gender,created_at,updated_at
1,Anderson,Jamie,USA,30,9/13/90 0:00,17575,9535078,3 / (4),833.33,jamieandersonusa,f,11/21/20 17:16,11/21/20 17:16
2,Marino,Julia,USA,23,9/11/97 0:00,83195,9535365,3 / (3),794.7,juliamarinousa,f,11/21/20 17:16,11/21/20 17:16
3,Blouin,Laurie,CAN,24,4/7/96 0:00,84387,9105246,3 / (7),760.91,laurieblouincan,f,11/21/20 17:16,11/21/20 17:16
4,Ormerod,Katie,GBR,23,8/25/97 0:00,72369,1229991,3 / (6),667.22,katieormerodgbr,f,11/21/20 17:16,11/21/20 17:16
5,Derungs,Isabel,SUI,33,7/17/87 0:00,82450,9515143,3 / (4),612.27,isabelderungssui,f,11/21/20 17:16,11/21/20 17:16
6,Baird,Jasmine,CAN,21,6/29/99 0:00,91659,9105409,3 / (3),591.58,jasminebairdcan,f,11/21/20 17:16,11/21/20 17:16
7,Peperkamp,Melissa,NED,,,91750,9405050,3 / (9),554.27,melissapeperkampned,f,11/21/20 17:16,11/21/20 17:16
8,Eilertsen,Hanne,NOR,21,3/23/99 0:00,89004,9425037,3 / (7),538.92,hanneeilertsennor,f,11/21/20 17:16,11/21/20 17:16
9,Gendron,Sommer,CAN,19,3/27/01 0:00,88255,9105426,3 / (7),522.78,sommergendroncan,f,11/21/20 17:16,11/21/20 17:16
10,Voigt,Brooke,CAN,27,11/17/93 0:00,78472,9105100,3 / (6),521.85,brookevoigtcan,f,11/21/20 17:16,11/21/20 17:16
11,Poppe,Evy,BEL,16,3/2/04 0:00,92484,1069925,3 / (10),516.45,evypoppebel,f,11/21/20 17:16,11/21/20 17:16
12,Morgan,Annika,GER,18,2/12/02 0:00,88774,9205078,3 / (6),511.78,annikamorganger,f,11/21/20 17:16,11/21/20 17:16
13,Langland,Hailey,USA,20,8/2/00 0:00,94228,9535409,3 / (4),504.68,haileylanglandusa,f,11/21/20 17:16,11/21/20 17:16
14,Sadowski Synnott,Zoi,NZL,19,3/6/01 0:00,94322,9415033,3 / (4),501.78,zoisadowski synnottnzl,f,11/21/20 17:16,11/21/20 17:16
15,Norendal,Silje,NOR,27,9/1/93 0:00,72637,9425008,2 / (2),501.56,siljenorendalnor,f,11/21/20 17:16,11/21/20 17:16
16,Yoshika,Rina,JPN,21,4/9/99 0:00,83851,9305311,3 / (6),500,rinayoshikajpn,f,11/21/20 17:16,11/21/20 17:16
17,Lefevre,Lucile,FRA,25,11/10/95 0:00,75864,9195093,3 / (6),499.59,lucilelefevrefra,f,11/21/20 17:16,11/21/20 17:16
18,Asanuma,Hinari,JPN,,,83838,9305386,3 / (7),499.25,hinariasanumajpn,f,11/21/20 17:16,11/21/20 17:16
19,Murase,Kokomo,JPN,16,11/7/04 0:00,91154,9305415,3 / (4),490.43,kokomomurasejpn,f,11/21/20 17:16,11/21/20 17:16
20,Schnorrbusch,Ty,USA,,,94561,9535467,3 / (11),482.88,tyschnorrbuschusa,f,11/21/20 17:16,11/21/20 17:16
21,Gasser,Anna,AUT,28,8/16/92 0:00,81369,9055068,3 / (3),482.23,annagasseraut,f,11/21/20 17:16,11/21/20 17:16
22,Rukajarvi,Enni,FIN,30,5/13/90 0:00,75256,9185019,3 / (5),469.08,ennirukajarvifin,f,11/21/20 17:16,11/21/20 17:16
23,Steffensen,Tina,NOR,19,2/1/01 0:00,92491,9425046,3 / (5),446.85,tinasteffensennor,f,11/21/20 17:16,11/21/20 17:16
24,Edamatsu,Chihiro,JPN,,,96738,,3 / (4),441.4,chihiroedamatsujpn,f,11/21/20 17:16,11/21/20 17:16
25,Smans,Loranne,BEL,23,10/30/97 0:00,81104,1069919,3 / (7),438.54,lorannesmansbel,f,11/21/20 17:16,11/21/20 17:16
26,Pelchat,Juliette,CAN,15,12/4/04 0:00,94718,9105462,3 / (11),429.5,juliettepelchatcan,f,11/21/20 17:16,11/21/20 17:16
27,Gisler,Bianca,SUI,17,2/15/03 0:00,93678,9515199,3 / (6),415.37,biancagislersui,f,11/21/20 17:16,11/21/20 17:16
