Key,position,lastname,firstname,nationality,age,date of birth,WST Rider ID,fis code,number of results,points,
GerardRedmond,1,Gerard,Redmond,USA,20,6/29/00 0:00,82704,9531135,3 / (4),882.98,Gerard
HenricksenDusty,2,Henricksen,Dusty,USA,,,97763,9531369,3 / (10),802.33,Henricksen
SharpeDarcy,3,Sharpe,Darcy,CAN,24,2/9/96 0:00,81099,9100445,3 / (5),712.43,Sharpe
SandbechStaale,4,Sandbech,Staale,NOR,27,6/3/93 0:00,74165,9420072,3 / (8),694.09,Sandbech
HenkesJustus,5,Henkes,Justus,USA,19,4/3/01 0:00,82666,9531241,3 / (8),690.63,Henkes
FarrellLyon,6,Farrell,Lyon,USA,21,11/22/98 0:00,88493,9531213,3 / (10),677.55,Farrell
CrouchBrock,7,Crouch,Brock,USA,21,8/22/99 0:00,80857,9531095,3 / (4),671.53,Crouch
ThorgrenSven,8,Thorgren,Sven,SWE,26,10/4/94 0:00,75853,9500105,3 / (6),620.76,Thorgren
CorningChris,9,Corning,Chris,USA,21,9/7/99 0:00,90901,9531130,3 / (4),613.58,Corning
McMorrisMark,10,McMorris,Mark,CAN,26,12/9/93 0:00,78481,9100228,3 / (5),610.91,McMorris
KunitakeHiroaki,11,Kunitake,Hiroaki,JPN,18,2/10/02 0:00,95166,,3 / (9),608.87,Kunitake
WinkelmannLuke,12,Winkelmann,Luke,USA,19,12/18/00 0:00,90894,9531163,3 / (9),595.43,Winkelmann
TobitaRuki,13,Tobita,Ruki,JPN,21,5/7/99 0:00,92065,9300723,3 / (6),589.94,Tobita
RoislandMons,14,Roisland,Mons,NOR,23,1/28/97 0:00,82747,9420133,3 / (6),561.65,Roisland
BrearleyLiam,15,Brearley,Liam,CAN,17,2/27/03 0:00,87932,9101066,3 / (14),558.96,Brearley
KimataRyoma,16,Kimata,Ryoma,JPN,18,7/24/02 0:00,91175,9300804,3 / (9),557.71,Kimata
BergremTorgeir,17,Bergrem,Torgeir,NOR,29,9/20/91 0:00,74846,9420060,3 / (6),546.31,Bergrem
HamadaKaito,18,Hamada,Kaito,JPN,21,10/14/99 0:00,89955,9300738,3 / (6),538.85,Hamada
KadonoYuki,19,Kadono,Yuki,JPN,24,5/18/96 0:00,80971,9300591,3 / (3),534.03,Kadono
RinnekangasRene,20,Rinnekangas,Rene,FIN,21,9/25/99 0:00,87638,9180149,3 / (6),524.5,Rinnekangas
KawakamiAoto,21,Kawakami,Aoto,JPN,16,7/12/04 0:00,90215,9300911,3 / (10),513.03,Kawakami
TischendorfFridtjof,22,Tischendorf,Fridtjof,NOR,23,3/29/97 0:00,85722,9420140,3 / (9),511.91,Tischendorf
SmitsSeppe,23,Smits,Seppe,BEL,29,7/13/91 0:00,70756,1064997,3 / (6),506.19,Smits
CiccarelliMichael,24,Ciccarelli,Michael,CAN,24,9/4/96 0:00,79384,9100401,3 / (6),504.41,Ciccarelli
SpaldingCam,25,Spalding,Cam,CAN,,,97420,9101189,3 / (12),502.11,Spalding
MackKyle,26,Mack,Kyle,USA,23,7/6/97 0:00,71811,9530894,3 / (5),500.13,Mack
Van Der VeldenNiek,27,Van Der Velden,Niek,NED,20,5/28/00 0:00,90838,9400053,3 / (7),489.61,Van Der Velden
KhadarinVlad,28,Khadarin,Vlad,RUS,22,2/22/98 0:00,87235,9480582,3 / (6),486.88,Khadarin
CollinsTiarn,29,Collins,Tiarn,NZL,20,11/9/99 0:00,93344,9410044,3 / (5),486.71,Collins
ThoenenMoritz,30,Thoenen,Moritz,SUI,23,12/9/96 0:00,82802,9510319,3 / (5),458.91,Thoenen
HuberNicolas,31,Huber,Nicolas,SUI,25,1/14/95 0:00,86955,9510438,3 / (6),445.32,Huber
GjerdalenBendik,32,Gjerdalen,Bendik,NOR,22,1/26/98 0:00,88313,9420143,3 / (7),444.86,Gjerdalen
BuffeyWilliam,33,Buffey,William,CAN,18,7/16/02 0:00,90797,9100947,3 / (6),444.21,Buffey
RetzlaffDave,34,Retzlaff,Dave,USA,,,95411,9531294,3 / (11),442.21,Retzlaff
FitzsimonsSean,35,Fitzsimons,Sean,USA,20,9/22/00 0:00,82777,9531194,3 / (6),439.77,Fitzsimons
KleivdalStian,36,Kleivdal,Stian,NOR,23,4/29/97 0:00,82751,9420129,3 / (7),438.82,Kleivdal
JacobLegault,37,Jacob,Legault,CAN,,,96660,9101074,3 / (8),436.45,Jacob
ChomlackJadyn,38,Chomlack,Jadyn,CAN,18,9/19/02 0:00,91331,9101067,3 / (10),435.06,Chomlack
BoesigerJonas,39,Boesiger,Jonas,SUI,25,4/5/95 0:00,80754,9510288,3 / (7),433.71,Boesiger
Bullock-WombleFynn,40,Bullock-Womble,Fynn,USA,,,96984,,3 / (4),433.16,Bullock-Womble
JobinFrancis,41,Jobin,Francis,CAN,22,9/21/98 0:00,84410,9100693,3 / (5),422.25,Jobin
KlevelandMarcus,42,Kleveland,Marcus,NOR,21,4/25/99 0:00,82158,9420145,3 / (4),412.1,Kleveland
RoweStorm,43,Rowe,Storm,USA,20,4/16/00 0:00,82041,9531153,3 / (10),409.57,Rowe
JarvisCarter,44,Jarvis,Carter,CAN,21,2/19/99 0:00,87781,9100655,3 / (8),408.75,Jarvis
LauziEmiliano,45,Lauzi,Emiliano,ITA,26,9/22/94 0:00,80711,9290268,3 / (7),405.2,Lauzi
KirkhusOyvind,46,Kirkhus,Oyvind,NOR,,,93529,9420164,3 / (8),400,Kirkhus
VicktorNoah,47,Vicktor,Noah,GER,19,8/18/01 0:00,91469,9200131,3 / (13),399.56,Vicktor
FinnFinestone,48,Finn,Finestone,CAN,,,96698,9101116,3 / (10),398.63,Finn
HasegawaTaiga,49,Hasegawa,Taiga,JPN,,,93682,9300953,3 / (6),397.63,Hasegawa
RehnbergMikko,50,Rehnberg,Mikko,FIN,23,4/16/97 0:00,87639,9180118,3 / (6),396.17,Rehnberg
JarvilehtoKalle,51,Jarvilehto,Kalle,FIN,25,7/21/95 0:00,82408,9180120,3 / (9),394.44,Jarvilehto
CanterJake,52,Canter,Jake,USA,17,7/19/03 0:00,90895,9531350,3 / (9),381.19,Canter
UlsteinIsak,53,Ulstein,Isak,NOR,22,3/2/98 0:00,82749,9420138,3 / (5),380.49,Ulstein
TveitenSindre,54,Tveiten,Sindre,NOR,22,4/5/98 0:00,92592,9420153,3 / (9),376.33,Tveiten
FramarinLoris,55,Framarin,Loris,ITA,22,1/1/98 0:00,80699,9290318,3 / (7),375.94,Framarin
CoxMatthew,56,Cox,Matthew,AUS,22,6/9/98 0:00,75364,9040200,3 / (7),369.13,Cox
MacDougallJack,57,MacDougall,Jack,CAN,,,94663,9100828,3 / (5),365.42,MacDougall
StasselRyan,58,Stassel,Ryan,USA,28,10/23/92 0:00,74792,9530618,3 / (5),358.24,Stassel
MillauerClemens,59,Millauer,Clemens,AUT,25,12/15/94 0:00,86506,9050251,3 / (3),358.19,Millauer
TakloJohannes,60,Taklo,Johannes,NOR,,,93190,9420163,3 / (10),354.87,Taklo
WatanabeRikuto,61,Watanabe,Rikuto,JPN,,,95432,9300985,3 / (7),354.67,Watanabe
SmithTruth,62,Smith,Truth,CAN,16,3/4/04 0:00,91327,9101123,3 / (10),353.26,Smith
ModestiMichael,63,Modesti,Michael,CAN,19,7/12/01 0:00,91040,9100907,3 / (7),350.35,Modesti
GillLiam,64,Gill,Liam,CAN,17,7/30/03 0:00,88090,9101051,3 / (12),348.18,Gill
McCormickMatt,65,McCormick,Matt,GBR,23,2/2/97 0:00,77485,9220040,3 / (5),345.89,McCormick
YamadaYuto,66,Yamada,Yuto,JPN,,,98297,9300861,3 / (8),343.37,Yamada
ParrotMax,67,Parrot,Max,CAN,26,6/6/94 0:00,83656,9100565,3 / (4),341.23,Parrot
ComeauLucas,68,Comeau,Lucas,CAN,18,8/12/02 0:00,91459,9100941,3 / (10),341.15,Comeau
EckhoffMathias,69,Eckhoff,Mathias,NOR,21,1/10/99 0:00,88950,9420142,3 / (6),340.74,Eckhoff
OtsukaTakeru,70,Otsuka,Takeru,JPN,19,4/2/01 0:00,89562,9300781,3 / (3),340.14,Otsuka
LaframboiseNicolas,71,Laframboise,Nicolas,CAN,,,92867,9101080,3 / (6),340.08,Laframboise
GouletHunter,72,Goulet,Hunter,USA,,,97647,,3 / (6),338.39,Goulet
DemchuckKeenan,73,Demchuck,Keenan,CAN,,,96348,9101006,3 / (10),334.1,Demchuck
VilhelmssonBaldur,74,Vilhelmsson,Baldur,ISL,,,94723,9250012,3 / (10),332.27,Vilhelmsson
ToutantSebastien,75,Toutant,Sebastien,CAN,27,11/9/92 0:00,72265,9100477,2 / (2),331.97,Toutant
DavernMitchell,76,Davern,Mitchell,NZL,18,3/21/02 0:00,96093,9410049,3 / (6),328.89,Davern
WolfCasper,77,Wolf,Casper,NED,19,4/6/01 0:00,90986,9400067,3 / (9),328.04,Wolf
FriczBotond Istvan,78,Fricz,Botond Istvan,HUN,19,12/29/00 0:00,90983,9240028,3 / (7),323.46,Fricz
VockenspergerLeon,79,Vockensperger,Leon,GER,21,8/25/99 0:00,91350,9200135,3 / (8),322.55,Vockensperger
MathisenWilliam,80,Mathisen,William,SWE,,,94026,9500160,3 / (7),322.33,Mathisen
Garcia KnightCarlos,81,Garcia Knight,Carlos,NZL,23,5/6/97 0:00,87289,9410042,3 / (5),312.1,Garcia Knight
IzzardWilliam,82,Izzard,William,CAN,,,96696,9100653,3 / (8),312.04,Izzard
LaesserMartin,83,Laesser,Martin,SUI,22,1/24/98 0:00,86861,9510407,3 / (7),310.15,Laesser
MenziesDane,84,Menzies,Dane,CAN,15,3/27/05 0:00,92604,9101168,3 / (10),309.56,Menzies
StevensLiam,85,Stevens,Liam,CAN,23,3/21/97 0:00,86792,9100515,3 / (6),308.7,Stevens
KovenSam,86,Koven,Sam,CAN,19,9/10/01 0:00,83283,9101044,3 / (12),304.01,Koven
MatveevMikhail,87,Matveev,Mikhail,RUS,24,5/22/96 0:00,81947,9480456,3 / (5),300.9,Matveev
GuetlLeon,88,Guetl,Leon,GER,19,3/19/01 0:00,89696,9200129,3 / (14),300,Guetl
VandeweyerStef,89,Vandeweyer,Stef,BEL,21,8/6/99 0:00,75555,9060009,3 / (8),299.3,Vandeweyer
LeeMinsik,90,Lee,Minsik,KOR,20,7/5/00 0:00,91111,9320133,3 / (1),296.68,Lee
SchaererMichael,91,Schaerer,Michael,SUI,23,12/23/96 0:00,76241,9510290,2 / (2),296.61,Schaerer
SkjommingKristian,92,Skjomming,Kristian,NOR,,,96484,,3 / (9),295.96,Skjomming
HealyWill,93,Healy,Will,USA,18,3/11/02 0:00,95407,9531311,3 / (6),292.22,Healy
MassittiMateo,94,Massitti,Mateo,CAN,19,4/9/01 0:00,87820,9100861,3 / (3),291.78,Massitti
HronesJakub,95,Hrones,Jakub,CZE,,,88066,9150266,3 / (12),290.97,Hrones
JarosSamuel,96,Jaros,Samuel,SVK,,,84996,9700047,3 / (4),289.28,Jaros
GroterudMagnus,97,Groterud,Magnus,NOR,,,93196,9420171,3 / (9),288.04,Groterud
FrijnsJoewen,98,Frijns,Joewen,BEL,,,92203,9060015,3 / (6),287.32,Frijns
AdamsGabriel,99,Adams,Gabriel,GBR,17,2/14/03 0:00,90976,9220090,3 / (9),285.49,Adams
OtsuboShuzaburo,100,Otsubo,Shuzaburo,JPN,16,11/14/03 0:00,97883,9300908,3 / (5),283.11,Otsubo
KristjanssonMarino,101,Kristjansson,Marino,ISL,19,12/1/00 0:00,89431,9250023,3 / (10),281.04,Kristjansson
LecroyKolman,102,Lecroy,Kolman,USA,,,96120,9531366,3 / (6),280.71,Lecroy
KatkoGrey,103,Katko,Grey,USA,,,97089,9531391,3 / (8),280.32,Katko
KautonenValtteri,104,Kautonen,Valtteri,FIN,,,93246,9180186,3 / (6),279.3,Kautonen
VikSebastian,105,Vik,Sebastian,NOR,,,93197,9420165,3 / (8),267.4,Vik
De SlooverJules,106,De Sloover,Jules,BEL,,,92575,9060016,3 / (7),267.3,De Sloover
FitzgeraldTj,107,Fitzgerald,Tj,USA,19,9/14/01 0:00,85106,9531271,3 / (5),267.18,Fitzgerald
OgiwaraHiroto,108,Ogiwara,Hiroto,JPN,,,86969,9300971,3 / (6),267.04,Ogiwara
InamuraKeita,109,Inamura,Keita,JPN,23,3/9/97 0:00,83569,9300671,2 / (2),266.67,Inamura
NevakiviAleksi,110,Nevakivi,Aleksi,FIN,21,6/12/99 0:00,92580,9180169,3 / (3),265.13,Nevakivi
OlimstadMarkus,111,Olimstad,Markus,NOR,26,1/16/94 0:00,86945,9420146,2 / (2),262.52,Olimstad
BARTETTitouan,112,BARTET,Titouan,FRA,20,2/22/00 0:00,92081,9190436,3 / (6),261.89,BARTET
LewisTyson,113,Lewis,Tyson,CAN,14,7/26/06 0:00,91458,,3 / (7),260.63,Lewis
EthierLouis,114,Ethier,Louis,CAN,,,95473,,3 / (6),259.96,Ethier
GroeneveldKai,115,Groeneveld,Kai,NED,16,4/27/04 0:00,92837,9400102,3 / (9),259.13,Groeneveld
RohrtOdin,116,Rohrt,Odin,NOR,15,12/15/04 0:00,93544,9420169,3 / (7),258.41,Rohrt
OkuboYuri,117,Okubo,Yuri,JPN,20,7/27/00 0:00,91146,9300742,2 / (2),255.17,Okubo
WeaverLane,118,Weaver,Lane,CAN,17,5/10/03 0:00,93358,9101200,3 / (11),252.7,Weaver
JohnsonLiam,119,Johnson,Liam,USA,,,98025,9531414,3 / (7),251.65,Johnson
BoggioDavide,120,Boggio,Davide,ITA,21,2/26/99 0:00,92713,9290338,3 / (5),251.13,Boggio
HofmannPatrick,121,Hofmann,Patrick,SUI,19,4/24/01 0:00,91716,9510412,3 / (4),250.78,Hofmann
DenhamJake,122,Denham,Jake,USA,,,92047,9531233,3 / (5),248.72,Denham
JunkerJonas,123,Junker,Jonas,SUI,20,2/11/00 0:00,92117,9510413,3 / (4),248.13,Junker
FridbjornssonBenedikt,124,Fridbjornsson,Benedikt,ISL,16,6/14/04 0:00,89430,9250044,3 / (14),247.67,Fridbjornsson
