position, 'lastname', 'firstname', 'nationality',age,date of birth,WST Rider ID,fis code,points
1, 'Anderson', 'Jamie', 'USA',30,'1990-09-13',17575,9535078,833.33
2, 'Marino', 'Julia', 'USA',23,'1997-09-11',83195,9535365,794.7
3, 'Blouin', 'Laurie', 'CAN',24,'1996-04-07',84387,9105246,760.91
4, 'Ormerod', 'Katie', 'GBR',23,'1997-08-25',72369,1229991,667.22
5, 'Derungs', 'Isabel', 'SUI',33,'1987-07-17',82450,9515143,612.27
6, 'Baird', 'Jasmine', 'CAN',21,'1999-06-29',91659,9105409,591.58
7, 'Peperkamp', 'Melissa', 'NED',null,null,91750,9405050,554.27
8, 'Eilertsen', 'Hanne', 'NOR',21,'1999-03-23',89004,9425037,538.92
9, 'Gendron', 'Sommer', 'CAN',19,'2001-03-27',88255,9105426,522.78
10, 'Voigt', 'Brooke', 'CAN',26,'1993-11-17',78472,9105100,521.85
11, 'Poppe', 'Evy', 'BEL',16,'2004-03-02',92484,1069925,516.45
12, 'Morgan', 'Annika', 'GER',18,'2002-02-12',88774,9205078,511.78
13, 'Langland', 'Hailey', 'USA',20,'2000-08-02',94228,9535409,504.68
14, 'Sadowski Synnott', 'Zoi', 'NZL', ,'2001-03-06',94322,9415033,501.78
15, 'Norendal', 'Silje', 'NOR',27,'1993-09-01',72637,9425008,501.56
16, 'Yoshika', 'Rina', 'JPN',21,'1999-04-09',83851,9305311,500
17, 'Lefevre', 'Lucile', 'FRA',24,'1995-11-10',75864,9195093,499.59
18, 'Asanuma', 'Hinari', 'JPN',null,null,83838,9305386,499.25
19, 'Murase', 'Kokomo', 'JPN',15,'2004-11-07',91154,9305415,490.43
20, 'Schnorrbusch', 'Ty', 'USA',null,null,94561,9535467,482.88
21, 'Gasser', 'Anna', 'AUT',28,'1992-08-16',81369,9055068,482.23
22, 'Rukajarvi', 'Enni', 'FIN',30,'1990-05-13',75256,9185019,469.08
23, 'Steffensen', 'Tina', 'NOR',19,'2001-02-01',92491,9425046,446.85
24, 'Edamatsu', 'Chihiro', 'JPN',null,null,96738,null,441.4
25, 'Smans', 'Loranne', 'BEL',22,'1997-10-30',81104,1069919,438.54
26, 'Pelchat', 'Juliette', 'CAN',null,null,94718,9105462,429.5
27, 'Gisler', 'Bianca', 'SUI',17,'2003-02-15',93678,9515199,415.37
28, 'Gardner', 'Addison', 'USA',null,null,96259,null,403.47
29, 'McDonald', 'Baily', 'CAN',22,'1998-06-05',91584,9105344,402.5
30, 'Taka', 'Eveliina', 'FIN',null,null,93436,9185078,400.97
31, 'Fujimori', 'Yuka', 'JPN',34,'1986-06-11',92069,9305001,399.57
32, 'Okuyama', 'Kanami', 'JPN',null,null,93685,9305367,374.33
33, 'Gomez', 'Isabella', 'USA',null,null,93346,9535452,372.95
34, 'Yoshizawa', 'Hikari', 'JPN',17,'2003-06-15',97636,9305384,372.33
35, 'Rummel', 'Courtney', 'USA',null,null,96267,null,347.07
36, 'Vatne-Larsen', 'Thea Cassandra', 'NOR',19,'2000-12-06',93231,null,338.15
37, 'Pancochova', 'Sarka', 'CZE',29,'1990-11-01',74989,1159968,338.06
38, 'Mueller', 'Lena', 'SUI',17,'2003-01-21',90856,9515207,333.67
39, 'Lantos', 'Emma', 'AUT',null,null,94643,9055092,333.33
40, 'Carlson', 'Jackie', 'CAN',null,null,93334,9105425,329.9
41, 'Kosova', 'Ekaterina', 'RUS',24,'1996-04-25',92144,9485164,327.47
42, 'Niemelae', 'Carola', 'FIN',21,'1999-02-11',93235,9185071,324.79
43, 'Boesch', 'Lia-Mara', 'SUI',26,'1994-09-03',86595,9515157,323.23
44, 'Danuser', 'Mona', 'SUI',null,null,93677,9515205,322.08
45, 'Silvestre', 'Lucie', 'FRA',null,null,84726,9195196,320.52
46, 'Kotani', 'Yui', 'JPN',null,null,99481,null,315.12
47, 'Wuorivirta', 'Karoliina', 'FIN',null,null,93968,9185077,313.03
48, 'Onitsuka', 'Miyabi', 'JPN',22,'1998-10-12',86188,9305286,311.79
49, 'Espeli Olsen', 'Stine', 'NOR',null,null,92492,9425055,308.08
50, 'Stalker', 'Meila', 'AUS',null,null,97604,null,303.45
51, 'Larochaix', 'Thalie', 'FRA',21,'1999-01-14',81637,9195178,303.4
52, 'Fennell', 'Amber', 'GBR',13,'2007-02-23',95816,null,301.37
53, 'Smith', 'Hollie', 'GBR',null,null,98128,9225022,300.21
54, 'Crompton', 'Maggie', 'CAN',null,null,94719,9105461,296.57
55, 'Maas', 'Cheryl', 'NED',36,'1984-09-28',17515,1409999,294.32
56, 'Rong', 'Ge', 'CHN',null,null,100177,9125121,293.42
57, 'Candrian', 'Sina', 'SUI',31,'1988-11-21',52643,9515010,292.96
58, 'Iwabuchi', 'Reira', 'JPN',18,'2001-12-14',81781,9305338,290.01
59, 'Thurgood', 'Jade', 'USA',null,null,95866,9535487,288.61
60, 'Flemming', 'Nadja', 'GER',24,'1995-12-07',90909,9205073,284.61
61, 'Adams', 'Kaitlyn', 'USA',15,'2005-09-16',90636,9535573,280.94
62, 'Kreisingerova', 'Marie', 'CZE',null,null,87889,9155054,278.36
63, 'Kozuback', 'Kamilla', 'CAN',16,'2004-05-05',93492,9105435,275.9
64, 'Immonen', 'Veera', 'FIN',null,null,95738,9185079,272.32
65, 'Roll', 'Bettina', 'NOR',null,null,92495,9425056,269.05
66, 'Traub', 'Terra', 'TPE',null,null,100993,null,266.32
67, 'Gendron', 'Andie', 'CAN',17,'2003-09-03',88253,9105441,263.6
68, 'Wakushima', 'Cool', 'NZL',null,null,97576,9415037,259.18
69, 'Bischof', 'Babet', 'SUI',20,'2000-04-22',92594,9515178,258.06
70, 'Bockhorni', 'Heli', 'GER',null,null,93814,null,257.6
