position,lastname,firstname,nationality,age,"date of birth","WST Rider ID","fis code","number of results",points
1,Corning,Chris,USA,21,"1999-09-07 00:00:00",90901,9531130,"3 / (6)",818.37
2,Laframboise,Nicolas,CAN,,,92867,9101080,"3 / (6)",776.32
3,Parrot,Max,CAN,26,"1994-06-06 00:00:00",83656,9100565,"3 / (4)",733.33
4,Kimata,Ryoma,JPN,18,"2002-07-24 00:00:00",91175,9300804,"3 / (6)",714.75
5,McMorris,Mark,CAN,26,"1993-12-09 00:00:00",78481,9100228,"3 / (6)",710.53
6,Thorgren,Sven,SWE,26,"1994-10-04 00:00:00",75853,9500105,"3 / (5)",626.07
7,Huber,Nicolas,SUI,25,"1995-01-14 00:00:00",86955,9510438,"3 / (10)",591.62
8,Jarvilehto,Kalle,FIN,25,"1995-07-21 00:00:00",82408,9180120,"3 / (6)",571.75
9,Henkes,Justus,USA,19,"2001-04-03 00:00:00",82666,9531241,"3 / (3)",518.58
10,Gauger,Wendelin,SUI,20,"2000-03-16 00:00:00",86579,9510403,"3 / (5)",511.36
11,Mekinc,Naj,SLO,,,91345,9560205,"3 / (11)",502.42
12,Kawakami,Aoto,JPN,16,"2004-07-12 00:00:00",90215,9300911,"3 / (4)",496.11
13,Tobita,Ruki,JPN,21,"1999-05-07 00:00:00",92065,9300723,"3 / (3)",495.12
14,Sharpe,Darcy,CAN,24,"1996-02-09 00:00:00",81099,9100445,"3 / (6)",494.90
15,Fitzsimons,Sean,USA,20,"2000-09-22 00:00:00",82777,9531194,"3 / (4)",482.25
16,Boesiger,Jonas,SUI,25,"1995-04-05 00:00:00",80754,9510288,"3 / (6)",468.00
17,Gerard,Redmond,USA,20,"2000-06-29 00:00:00",82704,9531135,"3 / (3)",464.70
18,Boll,Moritz,SUI,20,"2000-07-08 00:00:00",86577,9510387,"3 / (7)",452.75
19,Milenkovic,Matija,SRB,19,"2001-02-23 00:00:00",92999,9310011,"3 / (17)",447.62
20,Lauzi,Emiliano,ITA,26,"1994-09-22 00:00:00",80711,9290268,"3 / (4)",446.36
21,Valax,Enzo,FRA,20,"2000-10-27 00:00:00",92084,9190422,"3 / (12)",436.01
22,Cox,Matthew,AUS,22,"1998-06-09 00:00:00",75364,9040200,"3 / (5)",433.92
23,Konijnenberg,Sebastien,FRA,23,"1997-08-18 00:00:00",87631,9190322,"3 / (10)",430.74
24,Winkelmann,Luke,USA,19,"2000-12-18 00:00:00",90894,9531163,"3 / (3)",420.27
25,Otsuka,Takeru,JPN,19,"2001-04-02 00:00:00",89562,9300781,"3 / (3)",419.85
26,Stassel,Ryan,USA,28,"1992-10-23 00:00:00",74792,9530618,"3 / (3)",419.52
27,Smits,Seppe,BEL,29,"1991-07-13 00:00:00",70756,1064997,"3 / (7)",418.36
28,Amsuess,Moritz,AUT,21,"1998-11-15 00:00:00",87375,9050254,"3 / (3)",409.19
29,Henricksen,Dusty,USA,,,97763,9531369,"3 / (5)",401.13
30,Matveev,Mikhail,RUS,24,"1996-05-22 00:00:00",81947,9480456,"3 / (5)",400.23
31,Brcic,Dante,CRO,,,91715,9380038,"3 / (13)",375.70
32,Liviero,Nicola,ITA,21,"1999-04-23 00:00:00",86560,9290314,"3 / (7)",367.75
33,Canter,Jake,USA,17,"2003-07-19 00:00:00",90895,9531350,"3 / (4)",366.01
34,Brearley,Liam,CAN,17,"2003-02-27 00:00:00",87932,9101066,"3 / (5)",347.57
35,MacDougall,Jack,CAN,,,94663,9100828,"3 / (4)",342.26
36,"Van Der Velden",Niek,NED,20,"2000-05-28 00:00:00",90838,9400053,"3 / (5)",335.95
37,Larochaix,Noe,FRA,,,81626,9190448,"3 / (7)",332.65
38,McCormick,Matt,GBR,23,"1997-02-02 00:00:00",77485,9220040,"3 / (3)",326.97
39,Kleveland,Marcus,NOR,21,"1999-04-25 00:00:00",82158,9420145,"3 / (3)",326.57
40,Vandeweyer,Stef,BEL,21,"1999-08-06 00:00:00",75555,9060009,"3 / (7)",320.75
41,Buffey,William,CAN,18,"2002-07-16 00:00:00",90797,9100947,"3 / (5)",318.56
42,Frijns,Joewen,BEL,,,92203,9060015,"3 / (6)",316.79
43,Davern,Mitchell,NZL,18,"2002-03-21 00:00:00",96093,9410049,"3 / (4)",315.38
44,Farrell,Lyon,USA,21,"1998-11-22 00:00:00",88493,9531213,"2 / (2)",312.23
45,Rehnberg,Mikko,FIN,23,"1997-04-16 00:00:00",87639,9180118,"3 / (6)",311.72
46,Kunitake,Hiroaki,JPN,18,"2002-02-10 00:00:00",95166,,"3 / (4)",301.61
47,Kuhar,Ozbe,SLO,,,96454,9560220,"3 / (8)",301.34
