Key,lastName,firstName_nospace, firstName, position, points, sponsors, age, nationality, nationality_full, stance, height, residence, resort, website, facebook, twitter ,,,,
GerardRedmond,Gerard,Redmond,  Redmond,1,882.98, Burton Snowboards | Celtek | Mountain Dew | Von Zipper | Wend Wax | Woodward Copper | ,20, USA, United States, Regular, 5ft.4in., Silverthorne, Copper, www.redgerard.net, www.facebook.com/redgerard, www.twitter.com/@RedmondGerard, , , ,
HenricksenDusty,Henricksen,Dusty,  Dusty,2,802.33, , , USA, United States, , , , , , , , , , ,
SharpeDarcy,Sharpe,Darcy,  Darcy,3,712.43, air hole | Burton Snowboards | Dyra | Electric | Monster Energy | Showcase | Whister Valley | ,24, CAN, Canada, Regular, 6 ft, Comox, Mount Washington| on Vancouver Island, , darcy sharpe, www.twitter.com/darcysharpe, , , ,
SandbechStaale,Sandbech,Staale,  Staale,4,694.09, Junkyard | Monster Energy | Rome | ,27, NOR, Norway, Goofy, 178cm, Oslo, kirkerudbakken, Instagram: @stalesandbech, Facebook.com/stalesandbech, www.twitter.com/@stalesandbech, , , ,
HenkesJustus,Henkes,Justus,  Justus,5,690.63, Celtek | Mammoth Mountain | Red Bull | Salomon | ,19, USA, United States, Regular, 5ft.1in., La Jolla, Mammoth Mountain, instagram: @juddhenkes, instagram: @juddhenkes, www.twitter.com/@juddhenkes, , , ,
FarrellLyon,Farrell,Lyon,  Lyon,6,677.55, ,21, USA, United States, Regular, 5ft.8in., , , , lyonfarrell, , , , ,
CrouchBrock,Crouch,Brock,  Brock,7,671.53, Burton Snowboards | Dragon | Mammoth Mountain | Red Bull | US Snowboarding | ,21, USA, United States, Regular, 5ft.9in., Carlsbad, Mammoth Mountain, , brockcrouch99, , , , ,
ThorgrenSven,Thorgren,Sven,  Sven,8,620.76,  | ,26, SWE, Sweden, Regular, 173cm, Bro, Kläppen, www.sventhorgren.com, www.facebook.com/sven.thorgren, www.twitter.com/@SvenThorgren, , , ,
CorningChris,Corning,Chris,  Chris,9,613.58, Never Summer | Rockstar | US Snowboarding | ,21, USA, United States, Goofy, , Silverthorne, , , , , , , ,
McMorrisMark,McMorris,Mark,  Mark,10,610.91, Burton Snowboards | Nike | Red Bull | ROYAL BANK OF CANADA | Skullcandy | ,26, CAN, Canada, Regular, 5ft.11in., Regina, Whistler, www.markmcmorris.com, markleemcmorris, www.twitter.com/markmcmorris, , , ,
KunitakeHiroaki,Kunitake,Hiroaki,  Hiroaki,11,608.87, Ride Snowboards | Smith | ,18, JPN, Japan, Goofy, , , , , , , , , ,
WinkelmannLuke,Winkelmann,Luke,  Luke,12,595.43, Burton Snowboards | ,19, USA, United States, Regular, , Blowing Rock, , , , , , , ,
TobitaRuki,Tobita,Ruki,  Ruki,13,589.94, ,21, JPN, Japan, , , , , , , , , , ,
RoislandMons,Roisland,Mons,  Mons,14,561.65, DC | Sweet Protection | ,23, NOR, Norway, Regular, 180cm, Høvik, Kirkerudbakken, , Mons Røisland, , , , ,
BrearleyLiam,Brearley,Liam,  Liam,15,558.96,  | ,17, CAN, Canada, Goofy, , Gravenhurst, , , , , , , ,
KimataRyoma,Kimata,Ryoma,  Ryoma,16,557.71, ,18, JPN, Japan, , , , , , , , , , ,
BergremTorgeir,Bergrem,Torgeir,  Torgeir,17,546.31,  | ,29, NOR, Norway, Goofy,178, Trondheim, Vassfjellet| Norway, @torgeirbergrem, , , , , ,
HamadaKaito,Hamada,Kaito,  Kaito,18,538.85, ,21, JPN, Japan, Goofy, , , , , , , , , ,
