position,lastname,firstname,nationality,age,"date of birth","WST Rider ID","fis code","number of results",points
1,Anderson,Jamie,USA,30,"1990-09-13 00:00:00",17575,9535078,"3 / (4)",833.33
2,Marino,Julia,USA,23,"1997-09-11 00:00:00",83195,9535365,"3 / (3)",794.70
3,Blouin,Laurie,CAN,24,"1996-04-07 00:00:00",84387,9105246,"3 / (7)",760.91
4,Ormerod,Katie,GBR,23,"1997-08-25 00:00:00",72369,1229991,"3 / (6)",667.22
5,Derungs,Isabel,SUI,33,"1987-07-17 00:00:00",82450,9515143,"3 / (4)",612.27
6,Baird,Jasmine,CAN,21,"1999-06-29 00:00:00",91659,9105409,"3 / (3)",591.58
7,Peperkamp,Melissa,NED,,,91750,9405050,"3 / (9)",554.27
8,Eilertsen,Hanne,NOR,21,"1999-03-23 00:00:00",89004,9425037,"3 / (7)",538.92
9,Gendron,Sommer,CAN,19,"2001-03-27 00:00:00",88255,9105426,"3 / (7)",522.78
10,Voigt,Brooke,CAN,26,"1993-11-17 00:00:00",78472,9105100,"3 / (6)",521.85
11,Poppe,Evy,BEL,16,"2004-03-02 00:00:00",92484,1069925,"3 / (10)",516.45
12,Morgan,Annika,GER,18,"2002-02-12 00:00:00",88774,9205078,"3 / (6)",511.78
13,Langland,Hailey,USA,20,"2000-08-02 00:00:00",94228,9535409,"3 / (4)",504.68
14,"Sadowski Synnott",Zoi,NZL,19,"2001-03-06 00:00:00",94322,9415033,"3 / (4)",501.78
15,Norendal,Silje,NOR,27,"1993-09-01 00:00:00",72637,9425008,"2 / (2)",501.56
16,Yoshika,Rina,JPN,21,"1999-04-09 00:00:00",83851,9305311,"3 / (6)",500.00
17,Lefevre,Lucile,FRA,24,"1995-11-10 00:00:00",75864,9195093,"3 / (6)",499.59
18,Asanuma,Hinari,JPN,,,83838,9305386,"3 / (7)",499.25
19,Murase,Kokomo,JPN,15,"2004-11-07 00:00:00",91154,9305415,"3 / (4)",490.43
20,Schnorrbusch,Ty,USA,,,94561,9535467,"3 / (11)",482.88
21,Gasser,Anna,AUT,28,"1992-08-16 00:00:00",81369,9055068,"3 / (3)",482.23
22,Rukajarvi,Enni,FIN,30,"1990-05-13 00:00:00",75256,9185019,"3 / (5)",469.08
23,Steffensen,Tina,NOR,19,"2001-02-01 00:00:00",92491,9425046,"3 / (5)",446.85
24,Edamatsu,Chihiro,JPN,,,96738,,"3 / (4)",441.40
25,Smans,Loranne,BEL,22,"1997-10-30 00:00:00",81104,1069919,"3 / (7)",438.54
26,Pelchat,Juliette,CAN,,,94718,9105462,"3 / (11)",429.50
27,Gisler,Bianca,SUI,17,"2003-02-15 00:00:00",93678,9515199,"3 / (6)",415.37
28,Gardner,Addison,USA,,,96259,,"3 / (5)",403.47
29,McDonald,Baily,CAN,22,"1998-06-05 00:00:00",91584,9105344,"3 / (8)",402.50
30,Taka,Eveliina,FIN,,,93436,9185078,"3 / (4)",400.97
31,Fujimori,Yuka,JPN,34,"1986-06-11 00:00:00",92069,9305001,"2 / (2)",399.57
32,Okuyama,Kanami,JPN,,,93685,9305367,"3 / (6)",374.33
33,Gomez,Isabella,USA,,,93346,9535452,"3 / (11)",372.95
34,Yoshizawa,Hikari,JPN,17,"2003-06-15 00:00:00",97636,9305384,"3 / (4)",372.33
