lastName, firstName, position, points, sponsors, age, nationality, nationality_full, stance, height, residence, resort, website, facebook, twitter, rider_concat_id, 
Gerard,  Redmond, 1, 882.98, Burton Snowboards | Celtek | Mountain Dew | Von Zipper | Wend Wax | Woodward Copper | , 20, USA, united states, Regular, 5ft.4in., Silverthorne, Copper, www.redgerard.net, www.facebook.com/redgerard, www.twitter.com/@RedmondGerard, redmondgerardusa, 
Henricksen,  Dusty, 2, 802.33, , , USA, united states, , , , , , , , dustyhenricksenusa, 
Sharpe,  Darcy, 3, 712.43, air hole | Burton Snowboards | Dyra | Electric | Monster Energy | Showcase | Whister Valley | , 24, CAN, canada, Regular, 6 ft, Comox, Mount Washington| on Vancouver Island, , darcy sharpe, www.twitter.com/darcysharpe, darcysharpecan, 
Sandbech,  Staale, 4, 694.09, Junkyard | Monster Energy | Rome | , 27, NOR, norway, Goofy, 178cm, Oslo, kirkerudbakken, Instagram: @stalesandbech, Facebook.com/stalesandbech, www.twitter.com/@stalesandbech, staalesandbechnor, 
Henkes,  Justus, 5, 690.63, Celtek | Mammoth Mountain | Red Bull | Salomon | , 19, USA, united states, Regular, 5ft.1in., La Jolla, Mammoth Mountain, instagram: @juddhenkes, instagram: @juddhenkes, www.twitter.com/@juddhenkes, justushenkesusa, 
Farrell,  Lyon, 6, 677.55, , 21, USA, united states, Regular, 5ft.8in., , , , lyonfarrell, , lyonfarrellusa, 
Crouch,  Brock, 7, 671.53, Burton Snowboards | Dragon | Mammoth Mountain | Red Bull | US Snowboarding | , 21, USA, united states, Regular, 5ft.9in., Carlsbad, Mammoth Mountain, , brockcrouch99, , brockcrouchusa, 
Thorgren,  Sven, 8, 620.76,  | , 26, SWE, sweden, Regular, 173cm, Bro, Kläppen, www.sventhorgren.com, www.facebook.com/sven.thorgren, www.twitter.com/@SvenThorgren, sventhorgrenswe, 
Corning,  Chris, 9, 613.58, Never Summer | Rockstar | US Snowboarding | , 21, USA, united states, Goofy, , Silverthorne, , , , , chriscorningusa, 
McMorris,  Mark, 10, 610.91, Burton Snowboards | Nike | Red Bull | ROYAL BANK OF CANADA | Skullcandy | , 26, CAN, canada, Regular, 5ft.11in., Regina, Whistler, www.markmcmorris.com, markleemcmorris, www.twitter.com/markmcmorris, markmcmorriscan, 
Kunitake,  Hiroaki, 11, 608.87, Ride Snowboards | Smith | , 18, JPN, japan, Goofy, , , , , , , hiroakikunitakejpn, 
Winkelmann,  Luke, 12, 595.43, Burton Snowboards | , 19, USA, united states, Regular, , Blowing Rock, , , , , lukewinkelmannusa, 
Tobita,  Ruki, 13, 589.94, , 21, JPN, japan, , , , , , , , rukitobitajpn, 
Roisland,  Mons, 14, 561.65, DC | Sweet Protection | , 23, NOR, norway, Regular, 180cm, Høvik, Kirkerudbakken, , Mons Røisland, , monsroislandnor, 
Brearley,  Liam, 15, 558.96,  | , 17, CAN, canada, Goofy, , Gravenhurst, , , , , liambrearleycan, 
Kimata,  Ryoma, 16, 557.71, , 18, JPN, japan, , , , , , , , ryomakimatajpn, 
Bergrem,  Torgeir, 17, 546.31,  | , 29, NOR, norway, Goofy, 178, Trondheim, Vassfjellet| Norway, @torgeirbergrem, , , torgeirbergremnor, 
Hamada,  Kaito, 18, 538.85, , 21, JPN, japan, Goofy, , , , , , , kaitohamadajpn, 
Kadono,  Yuki, 19, 534.03, Red Bull | Ride Snowboards | , 24, JPN, japan, Regular, , Tokyo, , , , , yukikadonojpn, 
Rinnekangas,  Rene, 20, 524.5, , 21, FIN, finland, Regular, 168cm, , , , , , renerinnekangasfin, 
Kawakami,  Aoto, 21, 513.03, , 16, JPN, japan, Regular, , , , , , , aotokawakamijpn, 
Tischendorf,  Fridtjof, 22, 511.91, Quiksilver | , 23, NOR, norway, Regular, 187 cm, Hoenefoss, Ringkollen Norway. www.ringkollenparken.no, Instagram : fridtjof_st, , , fridtjoftischendorfnor, 
Smits,  Seppe, 23, 506.19, Absolut Park | Red Bull | , 29, BEL, belgium, Goofy, 180, Westmalle, We have no mountains :), , https://www.facebook.com/pages/Seppe-Smits/218187294872688?fref=ts, , seppesmitsbel, 
Ciccarelli,  Michael, 24, 504.41, Anon Optics | Burton Snowboards | , 24, CAN, canada, Goofy, 5 feet 8 inches, Ancaster, Mount St. Louis Moonstone & Georgian Peaks, , www.facebook.com/MikeyJCiccarelli, www.twitter.com/@mikeyciccarelli, michaelciccarellican, 
Spalding,  Cam, 25, 502.11, , , CAN, canada, , , , , , , , camspaldingcan, 
Mack,  Kyle, 26, 500.13, Rockstar | US Snowboarding | , 23, USA, united states, Goofy, 6 feet, W. Bloomfield, Alpine Valley| Breckenridge, , , www.twitter.com/@_kylemack, kylemackusa, 
Van Der Velden,  Niek, 27, 489.61, , 20, NED, ned, Regular, , , , , , , niekvan der veldenned, 
Khadarin,  Vlad, 28, 486.88,  | , 22, RUS, russian federation, Regular, 178, Gironico, Madonna di Campiglio| Italy, , Vlad Khadarin, , vladkhadarinrus, 
Collins,  Tiarn, 29, 486.71, DC | RADGLOVES | Smith | Union Bindings | , 21, NZL, new zealand, Goofy, , Queenstown, , , , , tiarncollinsnzl, 
Thoenen,  Moritz, 30, 458.91, Dragon | Transform Gloves | Union Bindings | , 23, SUI, switzerland, Regular, 182 cm, Hilterfingen, Grindelwald First, , , , moritzthoenensui, 
