lastName, firstName, position, points, sponsors, age, nationality, nationality_full, stance, height, residence, resort, website, facebook, twitter 
James,  Scotty, 1, 900.0, Red Bull | Volcom | , 26, AUS, Australia, Regular, 6ft.3in., Warrendyte, , www.scottyjames.com.au, https://www.facebook.com/scott.james2?fref=ts, www.twitter.com/scottyjames31, , , 
Totsuka,  Yuto, 2, 876.24, Smith | YONEX | , , JPN, Japan, , , , , , , , , , 
Hirano,  Ruka, 3, 792.84, , , JPN, Japan, , , , , , , , , , 
Scherrer,  Jan, 4, 763.87,  | , 26, SUI, Switzerland, Regular, 182cm, Ebnat-Kappel, Laax, www.facebook.com/janscherrer, , , , , 
Katayama,  Raibu, 5, 753.97, , 25, JPN, Japan, , , Yaizu-Shi, , , , , , , 
Burgener,  Patrick, 6, 720.2, Crans-Montana | FOCUSWATER | VISA | , 26, SUI, Switzerland, Regular, 1m80, Morrens, Crans-Montana| Switzerland (VS), www.patburgener.ch, https://www.facebook.com/patburgener, www.twitter.com/patburgener, , , 
Gold,  Taylor, 7, 647.58, Monster Energy | Neff | Steamboat Ski Resort | , 26, USA, United States, Regular, 5ft.9, Breckenridge, Steamboat, instagram.com/taylor_gold, facebook.com/taylorgold, www.twitter.com/Taylor_Gold, , , 
Anai,  Ikko, 8, 635.99, , 22, JPN, Japan, Regular, , Moriguti, , , , , , , 
Hoeflich,  Andre, 9, 630.32,  | , 23, GER, Germany, Goofy, 174 cm, Berchtesgaden, Kanzelwand (Austria), Instagram: andrehoeflich, André Höflich; Instagram: andrehoeflich, , , , 
Josey,  Chase, 10, 595.23, Capita | Rockstar | Smith | Union Bindings | US Snowboarding | , 25, USA, United States, Regular, 5ft.11in., Hailey, Sun Valley Resort
Sun Valley, , , , , , 
Blackwell,  Chase, 11, 532.39, Giro | Never Summer | Union Bindings | Wend Wax | 686 | , 21, USA, United States, Regular, 5ft.6in., Longmont, breck, chaseblackwell.co, Chase Blackwell, www.twitter.com/chaseblackwell, , , 
Hirano,  Kaishu, 12, 530.94, , , JPN, Japan, , , , , , , , , , 
Shigeno,  Shuichiro, 13, 530.27, , , JPN, Japan, , , , , , , , , , 
Habluetzel,  David, 14, 519.72, Giro | Red Bull | Samsung | , 24, SUI, Switzerland, Goofy, , Zumikon, Laax, instagram.com/david_habluetzel, https://www.facebook.com/davidhabluetzel, , , , 
Miller,  Toby, 15, 506.37, Capita | Celtek | DC | POC | Red Bull | , 20, USA, United States, Regular, 5ft. 3in., Carlsbad, Keystone, www.tobytobytoby.com, toby miller, www.twitter.com/tobymiller5, , , 
