lastName, firstName, position, points, sponsors, age, nationality, nationality_full, stance, height, residence, resort, website, facebook, twitter 
Cai,  Xuetong, 1, 1000.0, Burton Snowboards | Nike | , 27, CHN, China, Goofy, 1.65cm, Beijing, Yabuli, x?c, I donft.t have it., www.twitter.com/625166141@qq.com, , , 
Castellet,  Queralt, 2, 966.67, Red Bull | YONEX | , 31, ESP, Spain, Goofy, , Sabadell, , , , , , , 
Liu,  Jiayu, 3, 903.43, Audi | Burton Snowboards | Nike | , 28, CHN, China, Regular, 172cm, Beijing, Yabuli resort, , Jiayu Liu, , , , 
Mastro,  Maddie, 4, 843.47, Billabong | Giro | Mammoth Mountain | Salomon | US Snowboarding | , 20, USA, United States, Regular, , Wrightwood, Mammoth, , , www.twitter.com/maddie_mastro, , , 
Tomita,  Sena, 5, 768.27, , 21, JPN, Japan, Regular, , Myoko, , , , , , , 
Imai,  Kurumi, 6, 742.33, Burton Snowboards | , 21, JPN, Japan, Regular, , , , , , , , , 
Ono,  Mitsuki, 7, 730.52, , , JPN, Japan, , , , , , , , , , 
Gold,  Arielle, 8, 719.73, Rockstar | Steamboat Ski Resort | US Snowboarding |  | , 24, USA, United States, Regular, 5 feet 4 inches, Breckenridge, Mt. Werner, , facebook.com/ArielleGoldSnowboarder, www.twitter.com/@arielletgold, , , 
Tomita,  Ruki, 9, 719.4, , , JPN, Japan, , , , , , , , , , 
Wu,  Shaotong, 10, 713.67, , , CHN, China, , , , , , , , , , 
Matsumoto,  Haruna, 11, 692.56, Giro | Roxy | Salomon | , 27, JPN, Japan, Regular, , Sapporo, , , , , , , 
Rohrer,  Verena, 12, 596.97, FLUX BINDINGS | O'Neill | Pow Gloves | Shred | Slytech | , 24, SUI, Switzerland, Goofy, 168, Sattel, , , , , , , 
Qiu,  Leng, 13, 555.72, , , CHN, China, , , , , , , , , , 
Hosking,  Elizabeth, 14, 527.76, , 19, CAN, Canada, Regular, 5ft.4ft.ft., , Stoneham, elizabethhosking.ca, https://www.facebook.com/Elizabeth-Hosking-Snowboarder-302151113280048/, , , , 
Ettel,  Leilani, 15, 510.15, Burton Snowboards | TSG | Vans | Volcom | , 19, GER, Germany, Regular, 178cm, Pullach, Laax, www.leilani-ettel.de, https://www.facebook.com/Leilani-Ettel-1676831795892192/?fref=ts, , , , 
Kaji,  Manon, 16, 480.29, , , JPN, Japan, , , , , , , , , , 
Tamada,  Takara, 17, 465.13, , , JPN, Japan, , , , , , , , , , 
Maud,  Tessa, 18, 464.77, , , USA, United States, , , , , , , , , , 
Wicki,  Berenice, 19, 460.98, Burton Snowboards | , 18, SUI, Switzerland, Regular, 161, Ennetbaden, Davos, , , , , , 
Dhondt,  Brooke, 20, 457.85, , 15, CAN, Canada, , , , , , , , , , 
Kalapos,  Zoe, 21, 444.0, Anon Optics | Burton Snowboards | Monster Energy | US Snowboarding | Wend Wax | , 23, USA, United States, Regular, 5ft.8in., Avon, Vail Mountain, , https://www.facebook.com/zoekalapossnowboarder, www.twitter.com/zoekalapos, , , 
Simsovits,  Alexandria, 22, 423.38, , , USA, United States, , , , , , , , , , 
Schuetz,  Elena, 23, 403.79, , 17, SUI, Switzerland, , , , , , , , , , 
Alba,  Sonora, 24, 362.9, , , USA, United States, , , , , , , , , , 
Wang,  Jianjie, 25, 362.35, , , CHN, China, , , , , , , , , , 
Kamata,  Ayako, 26, 360.03, , , JPN, Japan, , , , , , , , , , 
Loetscher,  Isabelle, 27, 356.41, , , SUI, Switzerland, , , , , , , , , , 
Wang,  Jingjing, 28, 354.77, , , CHN, China, , , , , , , , , , 
Kakubari,  Misaki, 29, 346.21, , , JPN, Japan, , , , , , , , , , 
White,  Kinsley, 30, 336.72, , , USA, United States, , , , , , , , , , 
Obregon,  Taylor, 31, 330.65, POC | , 23, USA, United States, Regular, 5ft.2in., Minnetonka, Copper Mountain, , www.facebook.com/Taylor-Obregon-574290969323586/, , , , 
Comeau,  Athena, 32, 317.75, , , USA, United States, , , , , , , , , , 
Shafer,  Kaili, 33, 303.1, , , USA, United States, , , , , , , , , , 
Gisler,  Bianca, 34, 295.24, , 17, SUI, Switzerland, , , , , , , , , , 
Black,  Margie, 35, 285.88, , , USA, United States, , , , , , , , , , 
Spiteri,  Jenise, 36, 275.36, Grenade | Monster Energy | Rome | , 28, MLT, , Regular, 5ft. 4in., Redwood City, Mammoth, jenisespiteri.com, , www.twitter.com/jenisespiteri, , , 
Arthur,  Emily, 37, 267.43, Roxy | , 21, AUS, Australia, Regular, , Sydney, Perisher| AUS, , , , , , 
Lee,  Na-Yoon, 38, 258.75, , , KOR, Korea, Republic of, , , , , , , , , , 
Ettel,  Kona, 39, 240.75, TSG | , 13, GER, Germany, Regular, , Pullach, , , , , , , 
Zhang,  Yinan, 40, 234.1, , , CHN, China, , , , , , , , , , 
Yang,  Lu, 41, 229.83, , , CHN, China, , , , , , , , , , 
Cowan,  Ellah, 42, 229.08, , , USA, United States, , , , , , , , , , 
Cowan,  Lola, 43, 228.83, , , USA, United States, , , , , , , , , , 
Bogart,  Kailey, 44, 227.84, , , USA, United States, , , , , , , , , , 
Kolodziej,  Klementyna, 45, 215.4, , , POL, Poland, , , , , , , , , , 
Hasler,  Leonie, 46, 213.5, , , SUI, Switzerland, , , , , , , , , , 
Geremia,  Felicity, 47, 188.95, , , CAN, Canada, , , , , , , , , , 
Ulmer,  Lily-Ann, 48, 187.66, , , CAN, Canada, , , , , , , , , , 
Jia,  Yanru, 49, 185.23, , , CHN, China, , , , , , , , , , 
Kita,  Fuwari, 50, 183.83, , , JPN, Japan, , , , , , , , , , 
Fu,  Xinya, 51, 183.62, , , CHN, China, , , , , , , , , , 
Nashiki,  Mirei, 52, 181.96, , , JPN, Japan, , , , , , , , , , 
Kozuback,  Kamilla, 53, 180.82, , 16, CAN, Canada, , , , , , , , , , 
Jia,  Lulu, 54, 176.47, , , CHN, China, , , , , , , , , , 
Poltera,  Siria, 55, 162.56, , 14, SUI, Switzerland, , , , , , , , , , 
Fujiwara,  Mio, 56, 162.55, , , JPN, Japan, , , , , , , , , , 
