lastName, firstName, position, points, sponsors, age, nationality, nationality_full, stance, height, residence, resort, website, facebook, twitter 
Anderson,  Jamie, 1, 833.33, , 30, USA, United States, Regular, 5in.3, South Lake Tahoe, Sierra at Tahoe, , , , , , 
Marino,  Julia, 2, 794.7, Burton Snowboards | Dragon | Mountain Dew | Stamina Pro | , 23, USA, United States, Goofy, 5ft.5in., Westport, Breck, instagram:  _juliamarino, www.facebook.com/Jules-Marino-700692926636800/, , , , 
Blouin,  Laurie, 3, 760.91,  | , 24, CAN, Canada, Goofy, 5|4 Feet, Stoneham, Stoneham, , https://www.facebook.com/laurie.blouin, , , , 
Ormerod,  Katie, 4, 667.22, Red Bull | Roxy | Worm App | , 23, GBR, United Kingdom, Goofy, 5ft.3, Brighouse, Castleford SNO!zone, , katieormeroduk, www.twitter.com/@OrmerodKatie, , , 
Derungs,  Isabel, 5, 612.27, Adidas Eyewear | Ride Snowboards | , 33, SUI, Switzerland, Regular, 170, Zürich, , , https://www.facebook.com/Isabel-Derungs-623528247710003/, , , , 
Baird,  Jasmine, 6, 591.58, , 21, CAN, Canada, , , , , , , , , , 
Peperkamp,  Melissa, 7, 554.27, , , NED, NED, , , , , , , , , , 
Eilertsen,  Hanne, 8, 538.92, , 21, NOR, Norway, Regular, , Voyenenga, , , , , , , 
Gendron,  Sommer, 9, 522.78, Burton Snowboards | Swatch | , 19, CAN, Canada, , , , , , , , , , 
Voigt,  Brooke, 10, 521.85, 32 Snowboard Boots | Dragon | , 26, CAN, Canada, Goofy, 5ft. 7in., Fort McMurray, Vista Ridge| Fort McMurray AB, Brookevoigt.com, , , , , 
Poppe,  Evy, 11, 516.45, , 16, BEL, Belgium, Regular, , , , , , , , , 
Morgan,  Annika, 12, 511.78, Gnu | Roxy | , 18, GER, Germany, Goofy, , , Stubai, , , , , , 
Langland,  Hailey, 13, 504.68, Burton Snowboards | Rockstar | US Snowboarding | , 20, USA, United States, Regular, , , , , , , , , 
Sadowski Synnott,  Zoi, 14, 501.78, , 19, NZL, New Zealand, , , , , , , , , , 
Norendal,  Silje, 15, 501.56,  | , 27, NOR, Norway, Regular, 167cm, Oslo, kongsberg ski-center, , https://www.facebook.com/SiljeNorendal?fref=ts, www.twitter.com/siljenorendal, , , 
Yoshika,  Rina, 16, 500.0, , 21, JPN, Japan, Goofy, , Ichinomiya-Shi, , , , , , , 
Lefevre,  Lucile, 17, 499.59, Giro | Rip Curl | Rome | , 24, FRA, France, Regular, , Embrun, Risoul, https://www.facebook.com/lucilelefevre.snowboard/, https://www.facebook.com/lucilelefevre.snowboard/, , , , 
Asanuma,  Hinari, 18, 499.25, , , JPN, Japan, , , , , , , , , , 
Murase,  Kokomo, 19, 490.43, , 15, JPN, Japan, , , , , , , , , , 
Schnorrbusch,  Ty, 20, 482.88, , , USA, United States, , , , , , , , , , 
Gasser,  Anna, 21, 482.23, Anon Optics | Burton Snowboards | Red Bull | , 28, AUT, Austria, Regular, 5ft.6, Millstatt, , , , , , , 
Rukajarvi,  Enni, 22, 469.08, Giro | Vans | , 30, FIN, Finland, Regular, , Kuusamo, Ruka, , Enni Rukajärvi, www.twitter.com/ennirukajarvi, , , 
Steffensen,  Tina, 23, 446.85, Giro | , 19, NOR, Norway, Goofy, , , , , , , , , 
Edamatsu,  Chihiro, 24, 441.4, , , JPN, Japan, , , , , , , , , , 
Smans,  Loranne, 25, 438.54, Anon Optics | Burton Snowboards | , 22, BEL, Belgium, Goofy, , Mol, , , , , , , 
Pelchat,  Juliette, 26, 429.5, , , CAN, Canada, , , , , , , , , , 
Gisler,  Bianca, 27, 415.37, , 17, SUI, Switzerland, , , , , , , , , , 
Gardner,  Addison, 28, 403.47, , , USA, United States, , , , , , , , , , 
McDonald,  Baily, 29, 402.5, Roxy | Smith | , 22, CAN, Canada, Regular, 5ft.2in., , , , , , , , 
Taka,  Eveliina, 30, 400.97, , , FIN, Finland, , , , , , , , , , 
Fujimori,  Yuka, 31, 399.57, Burton Snowboards | GALLIUM | , 34, JPN, Japan, Regular, , ???, , , , , , , 
Okuyama,  Kanami, 32, 374.33, , , JPN, Japan, , , , , , , , , , 
Gomez,  Isabella, 33, 372.95, , , USA, United States, , , , , , , , , , 
Yoshizawa,  Hikari, 34, 372.33, , 17, JPN, Japan, , , Fujisawa City Kanagawa Pref., , , , , , , 
Rummel,  Courtney, 35, 347.07, , , USA, United States, , , , , , , , , , 
Vatne-Larsen,  Thea Cassandra, 36, 338.15, , 19, NOR, Norway, , , , , , , , , , 
Pancochova,  Sarka, 37, 338.06, Flow | Level | Red Bull | Volcom | Zeal Optics | , 29, CZE, Czech Republic, Regular, 162, Uh.Brod, Morava picho, , , , , , 
Mueller,  Lena, 38, 333.67, , 17, SUI, Switzerland, , , , , , , , , , 
Lantos,  Emma, 39, 333.33, , , AUT, Austria, , , , , , , , , , 
Carlson,  Jackie, 40, 329.9, , , CAN, Canada, , , , , , , , , , 
Kosova,  Ekaterina, 41, 327.47,  | , 24, RUS, Russian Federation, Goofy, , Moscow, , , , , , , 
Niemelae,  Carola, 42, 324.79, BRP | Koneliike Korteniemi | Lappsetgroup | Salomon | , 21, FIN, Finland, , , , , , , , , , 
Boesch,  Lia-Mara, 43, 323.23, Drake | Level | Northwave | Protest | Smith | , 26, SUI, Switzerland, Goofy, , Alikon, , www.liamaraboesch.com, https://www.facebook.com/Lia-Mara-Bösch-867730613257719/, , , , 
Danuser,  Mona, 44, 322.08, , , SUI, Switzerland, , , , , , , , , , 
Silvestre,  Lucie, 45, 320.52, , , FRA, France, , , , , , , , , , 
Kotani,  Yui, 46, 315.12, , , JPN, Japan, , , , , , , , , , 
Wuorivirta,  Karoliina, 47, 313.03, , , FIN, Finland, , , , , , , , , , 
Onitsuka,  Miyabi, 48, 311.79, Anon Optics | Burton Snowboards | Red Bull | , 22, JPN, Japan, Regular, -, Kumamoto-City, Alts Bandai| JPN, , , , , , 
Espeli Olsen,  Stine, 49, 308.08, , , NOR, Norway, , , , , , , , , , 
