lastName, firstName, position, points, sponsors, age, nationality, nationality_full, stance, height, residence, resort, website, facebook, twitter 
Gerard,  Redmond, 1, 882.98, Burton Snowboards | Celtek | Mountain Dew | Von Zipper | Wend Wax | Woodward Copper | , 20, USA, United States, Regular, 5ft.4in., Silverthorne, Copper, www.redgerard.net, www.facebook.com/redgerard, www.twitter.com/@RedmondGerard, , , 
Henricksen,  Dusty, 2, 802.33, , , USA, United States, , , , , , , , , , 
Sharpe,  Darcy, 3, 712.43, air hole | Burton Snowboards | Dyra | Electric | Monster Energy | Showcase | Whister Valley | , 24, CAN, Canada, Regular, 6 ft, Comox, Mount Washington| on Vancouver Island, , darcy sharpe, www.twitter.com/darcysharpe, , , 
Sandbech,  Staale, 4, 694.09, Junkyard | Monster Energy | Rome | , 27, NOR, Norway, Goofy, 178cm, Oslo, kirkerudbakken, Instagram: @stalesandbech, Facebook.com/stalesandbech, www.twitter.com/@stalesandbech, , , 
Henkes,  Justus, 5, 690.63, Celtek | Mammoth Mountain | Red Bull | Salomon | , 19, USA, United States, Regular, 5ft.1in., La Jolla, Mammoth Mountain, instagram: @juddhenkes, instagram: @juddhenkes, www.twitter.com/@juddhenkes, , , 
Farrell,  Lyon, 6, 677.55, , 21, USA, United States, Regular, 5ft.8in., , , , lyonfarrell, , , , 
Crouch,  Brock, 7, 671.53, Burton Snowboards | Dragon | Mammoth Mountain | Red Bull | US Snowboarding | , 21, USA, United States, Regular, 5ft.9in., Carlsbad, Mammoth Mountain, , brockcrouch99, , , , 
Thorgren,  Sven, 8, 620.76,  | , 26, SWE, Sweden, Regular, 173cm, Bro, Kläppen, www.sventhorgren.com, www.facebook.com/sven.thorgren, www.twitter.com/@SvenThorgren, , , 
Corning,  Chris, 9, 613.58, Never Summer | Rockstar | US Snowboarding | , 21, USA, United States, Goofy, , Silverthorne, , , , , , , 
McMorris,  Mark, 10, 610.91, Burton Snowboards | Nike | Red Bull | ROYAL BANK OF CANADA | Skullcandy | , 26, CAN, Canada, Regular, 5ft.11in., Regina, Whistler, www.markmcmorris.com, markleemcmorris, www.twitter.com/markmcmorris, , , 
Kunitake,  Hiroaki, 11, 608.87, Ride Snowboards | Smith | , 18, JPN, Japan, Goofy, , , , , , , , , 
Winkelmann,  Luke, 12, 595.43, Burton Snowboards | , 19, USA, United States, Regular, , Blowing Rock, , , , , , , 
Tobita,  Ruki, 13, 589.94, , 21, JPN, Japan, , , , , , , , , , 
Roisland,  Mons, 14, 561.65, DC | Sweet Protection | , 23, NOR, Norway, Regular, 180cm, Høvik, Kirkerudbakken, , Mons Røisland, , , , 
Brearley,  Liam, 15, 558.96,  | , 17, CAN, Canada, Goofy, , Gravenhurst, , , , , , , 
Kimata,  Ryoma, 16, 557.71, , 18, JPN, Japan, , , , , , , , , , 
Bergrem,  Torgeir, 17, 546.31,  | , 29, NOR, Norway, Goofy, 178, Trondheim, Vassfjellet| Norway, @torgeirbergrem, , , , , 
Hamada,  Kaito, 18, 538.85, , 21, JPN, Japan, Goofy, , , , , , , , , 
Kadono,  Yuki, 19, 534.03, Red Bull | Ride Snowboards | , 24, JPN, Japan, Regular, , Tokyo, , , , , , , 
Rinnekangas,  Rene, 20, 524.5, , 21, FIN, Finland, Regular, 168cm, , , , , , , , 
Kawakami,  Aoto, 21, 513.03, , 16, JPN, Japan, Regular, , , , , , , , , 
Tischendorf,  Fridtjof, 22, 511.91, Quiksilver | , 23, NOR, Norway, Regular, 187 cm, Hoenefoss, Ringkollen Norway.
www.ringkollenparken.no, Instagram : fridtjof_st, , , , , 
Smits,  Seppe, 23, 506.19, Absolut Park | Red Bull | , 29, BEL, Belgium, Goofy, 180, Westmalle, We have no mountains :), , https://www.facebook.com/pages/Seppe-Smits/218187294872688?fref=ts, , , , 
Ciccarelli,  Michael, 24, 504.41, Anon Optics | Burton Snowboards | , 24, CAN, Canada, Goofy, 5 feet 8 inches, Ancaster, Mount St. Louis Moonstone & Georgian Peaks, , www.facebook.com/MikeyJCiccarelli, www.twitter.com/@mikeyciccarelli, , , 
Spalding,  Cam, 25, 502.11, , , CAN, Canada, , , , , , , , , , 
Mack,  Kyle, 26, 500.13, Rockstar | US Snowboarding | , 23, USA, United States, Goofy, 6 feet, W. Bloomfield, Alpine Valley| Breckenridge, , , www.twitter.com/@_kylemack, , , 
Van Der Velden,  Niek, 27, 489.61, , 20, NED, NED, Regular, , , , , , , , , 
