riderName, position, points, sponsors, age, nationality, stance, height, residence, resort, website, facebook, twitter  
Jamie Anderson,  1,  833.33, , 30, USA, Regular, 5in.3, South Lake Tahoe, Sierra at Tahoe, , , , , , , 
Julia Marino,  2,  794.7, Burton Snowboards | Dragon | Mountain Dew | Stamina Pro | , 23, USA, Goofy, 5ft.5in., Westport, Breck, instagram:  _juliamarino, www.facebook.com/Jules-Marino-700692926636800/, , , , , 
Laurie Blouin,  3,  760.91,  | , 24, CAN, Goofy, 5|4 Feet, Stoneham, Stoneham, , https://www.facebook.com/laurie.blouin, , , , , 
Katie Ormerod,  4,  667.22, Red Bull | Roxy | Worm App | , 23, GBR, Goofy, 5ft.3, Brighouse, Castleford SNO!zone, , katieormeroduk, www.twitter.com/@OrmerodKatie, , , , 
Isabel Derungs,  5,  612.27, Adidas Eyewear | Ride Snowboards | , 33, SUI, Regular, 170, Zürich, , , https://www.facebook.com/Isabel-Derungs-623528247710003/, , , , , 
Jasmine Baird,  6,  591.58, , 21, CAN, , , , , , , , , , , 
Melissa Peperkamp,  7,  554.27, , , NED, , , , , , , , , , , 
Hanne Kjoll Eilertsen,  8,  538.92, , 21, NOR, Regular, , Voyenenga, , , , , , , , 
Sommer Gendron,  9,  522.78, Burton Snowboards | Swatch | , 19, CAN, , , , , , , , , , , 
Brooke Voigt,  10,  521.85, 32 Snowboard Boots | Dragon | , 26, CAN, Goofy, 5ft. 7in., Fort McMurray, Vista Ridge| Fort McMurray AB, Brookevoigt.com, , , , , , 
Evy Poppe,  11,  516.45, , 16, BEL, Regular, , , , , , , , , , 
Annika Morgan,  12,  511.78, Gnu | Roxy | , 18, GER, Goofy, , , Stubai, , , , , , , 
Hailey Langland,  13,  504.68, Burton Snowboards | Rockstar | US Snowboarding | , 20, USA, Regular, , , , , , , , , , 
Zoi Sadowski Synnott,  14,  501.78, , 19, NZL, , , , , , , , , , , 
Silje Norendal,  15,  501.56,  | , 27, NOR, Regular, 167cm, Oslo, kongsberg ski-center, , https://www.facebook.com/SiljeNorendal?fref=ts, www.twitter.com/siljenorendal, , , , 
Rina Yoshika,  16,  500, , 21, JPN, Goofy, , Ichinomiya-Shi, , , , , , , , 
