lastName, firstName, position, points, sponsors, age, nationality, nationality_full, stance, height, residence, resort, website, facebook, twitter 
Onitsuka,  Miyabi, 1, 948.1, Anon Optics | Burton Snowboards | Red Bull | , 22, JPN, Japan, Regular, -, Kumamoto-City, Alts Bandai| JPN, , , , , , 
Gasser,  Anna, 2, 907.7, Anon Optics | Burton Snowboards | Red Bull | , 28, AUT, Austria, Regular, 5ft.6, Millstatt, , , , , , , 
Iwabuchi,  Reira, 3, 881.6, , 18, JPN, Japan, , , , , , , , , , 
Murase,  Kokomo, 4, 777.67, , 15, JPN, Japan, , , , , , , , , , 
Blouin,  Laurie, 5, 736.88,  | , 24, CAN, Canada, Goofy, 5|4 Feet, Stoneham, Stoneham, , https://www.facebook.com/laurie.blouin, , , , 
Marino,  Julia, 6, 675.66, Burton Snowboards | Dragon | Mountain Dew | Stamina Pro | , 23, USA, United States, Goofy, 5ft.5in., Westport, Breck, instagram:  _juliamarino, www.facebook.com/Jules-Marino-700692926636800/, , , , 
Voigt,  Brooke, 7, 666.61, 32 Snowboard Boots | Dragon | , 26, CAN, Canada, Goofy, 5ft. 7in., Fort McMurray, Vista Ridge| Fort McMurray AB, Brookevoigt.com, , , , , 
Boesch,  Lia-Mara, 8, 633.31, Drake | Level | Northwave | Protest | Smith | , 26, SUI, Switzerland, Goofy, , Alikon, , www.liamaraboesch.com, https://www.facebook.com/Lia-Mara-Bösch-867730613257719/, , , , 
Anderson,  Jamie, 9, 575.64, , 30, USA, United States, Regular, 5in.3, South Lake Tahoe, Sierra at Tahoe, , , , , , 
Morgan,  Annika, 10, 557.61, Gnu | Roxy | , 18, GER, Germany, Goofy, , , Stubai, , , , , , 
Silvestre,  Lucie, 11, 535.78, , , FRA, France, , , , , , , , , , 
Ormerod,  Katie, 12, 531.2, Red Bull | Roxy | Worm App | , 23, GBR, United Kingdom, Goofy, 5ft.3, Brighouse, Castleford SNO!zone, , katieormeroduk, www.twitter.com/@OrmerodKatie, , , 
Sadowski Synnott,  Zoi, 13, 517.92, , 19, NZL, New Zealand, , , , , , , , , , 
Pancochova,  Sarka, 14, 494.97, Flow | Level | Red Bull | Volcom | Zeal Optics | , 29, CZE, Czech Republic, Regular, 162, Uh.Brod, Morava picho, , , , , , 
Asanuma,  Hinari, 15, 460.49, , , JPN, Japan, , , , , , , , , , 
Rukajarvi,  Enni, 16, 457.24, Giro | Vans | , 30, FIN, Finland, Regular, , Kuusamo, Ruka, , Enni Rukajärvi, www.twitter.com/ennirukajarvi, , , 
Medlova,  Klaudia, 17, 452.39, , 27, SVK, Slovakia, Regular, , Liptovsky Mikulas, , , , , , , 
Jugovac,  Lea, 18, 449.35, , 25, CRO, CRO, Regular, , , , , , , , , 
Bogdanova,  Elizaveta, 19, 424.43, , , RUS, Russian Federation, , , , , , , , , , 
Smans,  Loranne, 20, 417.6, Anon Optics | Burton Snowboards | , 23, BEL, Belgium, Goofy, , Mol, , , , , , , 
Poppe,  Evy, 21, 410.28, , 16, BEL, Belgium, Regular, , , , , , , , , 
Loginova,  Anastasiia, 22, 399.71, , , RUS, Russian Federation, , , , , , , , , , 
Gisler,  Bianca, 23, 399.05, , 17, SUI, Switzerland, , , , , , , , , , 
Norendal,  Silje, 24, 394.13,  | , 27, NOR, Norway, Regular, 167cm, Oslo, kongsberg ski-center, , https://www.facebook.com/SiljeNorendal?fref=ts, www.twitter.com/siljenorendal, , , 
Larochaix,  Thalie, 25, 392.63, Roxy | , 21, FRA, France, Regular, 1m58, , St Martin de Belleville, , , , , , 
Pribosic,  Urska, 26, 379.5, Amplifi | Flow | , 30, SLO, SLO, Regular, , Bled, Vogel, https://www.instagram.com/urskapribosic/, , , , , 
Rummel,  Courtney, 27, 379.3, , , USA, United States, , , , , , , , , , 
Schnorrbusch,  Ty, 28, 341.32, , , USA, United States, , , , , , , , , , 
Okuyama,  Kanami, 29, 338.8, , , JPN, Japan, , , , , , , , , , 
Kostenko,  Elena, 30, 333.47, Spy | VR Boardwear | , 25, RUS, Russian Federation, Goofy, , Sankt-Peterburg, , , , , , , 
Maas,  Cheryl, 31, 331.85, Celtek | Nixon | Rockstar | Vans | , 36, NED, NED, Goofy, 174 cm, Oslo, Oslo| Tryvan, cherylmaas, cheryl maas, www.twitter.com/cheryl maas, , , 
Burri,  Ariane, 32, 324.38,  | , 20, SUI, Switzerland, Goofy, , Eschenbach Lu, , , , , , , 
Tmusic,  Katarina, 33, 323.15, , , SRB, Serbia, , , , , , , , , , 
Suitiala,  Ella, 34, 315.45,  | , 31, FIN, Finland, Regular, , Rovaniemi, , , , , , , 
Nastic,  Nicole, 35, 311.39, , , CRO, CRO, , , , , , , , , , 
Ignjatov,  Jelena, 36, 301.29, , 25, SRB, Serbia, , , , , , , , , , 
Niemelae,  Carola, 37, 298.75, BRP | Koneliike Korteniemi | Lappsetgroup | Salomon | , 21, FIN, Finland, , , , , , , , , , 
Zaradna,  Paulina, 38, 298.29, , , POL, Poland, , , , , , , , , , 
Peperkamp,  Melissa, 39, 277.71, , , NED, NED, , , , , , , , , , 
Candrian,  Sina, 40, 256.7, Giro | Head | Neff | , 31, SUI, Switzerland, Goofy, , Flims, Laax, WWW.SINACANDRIAN.CH, Sina Candrian, www.twitter.com/Sina Candrian, , , 
Espeli Olsen,  Stine, 41, 255.24, , , NOR, Norway, , , , , , , , , , 
Danuser,  Mona, 42, 248.52, , , SUI, Switzerland, , , , , , , , , , 
McDonald,  Baily, 43, 247.28, Roxy | Smith | , 22, CAN, Canada, Regular, 5ft.2in., , , , , , , , 
Equy,  Noemie, 44, 246.03, , , FRA, France, , , , , , , , , , 
Eilertsen,  Hanne, 45, 243.15, , 21, NOR, Norway, Regular, , Voyenenga, , , , , , , 
Belikova,  Dariya, 46, 240.02, , , RUS, Russian Federation, , , , , , , , , , 
Somaini,  Carla, 47, 238.37, FLUX BINDINGS | Level | Sims | Smith | , 29, SUI, Switzerland, Goofy, 166 cm, Zürich, Laax, , , , , , 
Romanova,  Varvara, 48, 237.34, , , RUS, Russian Federation, , , , , , , , , , 
Stepanova,  Eseniya, 49, 231.3, , , RUS, Russian Federation, , , , , , , , , , 
Lefevre,  Lucile, 50, 226.57, Giro | Rip Curl | Rome | , 24, FRA, France, Regular, , Embrun, Risoul, https://www.facebook.com/lucilelefevre.snowboard/, https://www.facebook.com/lucilelefevre.snowboard/, , , , 
Gendron,  Sommer, 51, 213.79, Burton Snowboards | Swatch | , 19, CAN, , , , , , , , , , , 
Kosova,  Ekaterina, 52, 213.58,  | , 24, RUS, , Goofy, , Moscow, , , , , , , 
Roll,  Bettina, 53, 212.49, , , NOR, , , , , , , , , , , 
Salgueira,  Luan, 54, 210.08, , 19, FRA, , , , , , , , , , , 
Poggi Silveira,  Morena, 55, 208.21, , , ARG, , , , , , , , , , , 
Baird,  Jasmine, 56, 200.0, , 21, CAN, , , , , , , , , , , 
Valcl,  Tinkara Tanja, 57, 172.6, , , SLO, , , , , , , , , , , 
Steffensen,  Tina, 58, 171.32, Giro | , 19, NOR, , Goofy, , , , , , , , , 
Adams,  Kaitlyn, 59, 171.1, Arbor Snowboards | Phunkshun Wear | ROCKWELL Time | , 15, USA, , Regular, , Springfield, , , , , , , 
Yoshika,  Rina, 60, 166.67, , 21, JPN, , Goofy, , Ichinomiya-Shi, , , , , , , 
Kokushkina,  Maria, 61, 160.15, , , RUS, , , , , , , , , , , 
Rose,  Acacia, 62, 154.24, , , NOR, , , , , , , , , , , 
Flemming,  Nadja, 63, 152.3, Burton Snowboards | Nikita | Shred | , 24, GER, , Regular, , Röhrmoos, , , , , , , 
Poluzzi,  Marilu, 64, 143.32, , , ITA, , , , , , , , , , , 
Vatne-Larsen,  Thea Cassandra, 65, 142.75, , 19, NOR, , , , , , , , , , , 
Coady,  Tess, 66, 133.2, Salomon | , 19, AUS, , Regular, , St Kilda, , , , , , , 
Jovanovic,  Jana, 67, 127.4, , , SRB, , , , , , , , , , , 
Kreisingerova,  Marie, 68, 126.96, , , CZE, , , , , , , , , , , 
Hahnl,  Marie, 69, 126.14, , , GER, , , , , , , , , , , 
Mylius,  Maria, 70, 123.57, , , NOR, , , , , , , , , , , 
Carlson,  Jackie, 71, 120.84, , , CAN, , , , , , , , , , , 
Kozuback,  Kamilla, 72, 114.92, , 16, CAN, , , , , , , , , , , 
Dowley,  Eve, 73, 112.63, , , AUS, , , , , , , , , , , 
Cornell,  Nora, 74, 112.19, , , ESP, , , , , , , , , , , 
Jekel,  Lily, 75, 108.67, , 17, AUS, , , , , , , , , , , 
Kampesaether,  Live, 76, 103.89, , , NOR, , , , , , , , , , , 
Thurgood,  Jade, 77, 102.26, , , USA, , , , , , , , , , , 
Rusin,  Katarzyna, 78, 100.0, , 26, POL, , Goofy, 168, Krakow, vallnord, , Kasia Rusin, , , , 
Klacar,  Asja, 78, 100.0, , , BIH, , , , , , , , , , , 
Dobreska,  Neda, 80, 99.99, , , MKD, , , , , , , , , , , 
Rong,  Ge, 81, 97.96, , , CHN, , , , , , , , , , , 
Crompton,  Maggie, 82, 97.47, , , CAN, , , , , , , , , , , 
O Brien,  Spencer, 83, 96.79, Clast | Dragon | Nike | Nixon | Rockstar | , 32, CAN, , Regular, 5ft.7in., Vancouver, WHISTLER| BC, www.spencerobrien.com, https://www.facebook.com/Spencer-OBrien-219537448056496/, www.twitter.com/@spencerobrien, , , 
Djogic,  Andjela, 84, 96.71, , , SRB, , , , , , , , , , , 
Marguerite,  Sweeney, 85, 95.98, , , CAN, , , , , , , , , , , 
Espeli Olsen,  Kamilla, 86, 95.72, , , NOR, , , , , , , , , , , 
Stalker,  Meila, 87, 94.38, , , AUS, , , , , , , , , , , 
Chavez Martinez,  Maria Azul, 88, 94.32, , , ARG, , , , , , , , , , , 
Traub,  Terra, 89, 91.57, , , TPE, , , , , , , , , , , 
Wuorivirta,  Karoliina, 90, 88.27, , , FIN, , , , , , , , , , , 
Chen,  Alexandra, 91, 87.47, , , AUS, , , , , , , , , , , 
Merkhoffer,  Melina, 92, 87.46,  | , 26, GER, , Regular, , Taunusstein, , , , , , , 
Derungs,  Isabel, 93, 86.38, Adidas Eyewear | Ride Snowboards | , 33, SUI, , Regular, 170, Zürich, , , https://www.facebook.com/Isabel-Derungs-623528247710003/, , , , 
Petkovska,  Marija, 94, 81.74, , , MKD, , , , , , , , , , , 
Ren,  Ziyan, 95, 81.32, , , CHN, , , , , , , , , , , 
Norman,  Hahna, 96, 80.13, , , USA, , , , , , , , , , , 
Klacar,  Adna, 97, 78.37, , , BIH, , , , , , , , , , , 
Saarela,  Enni, 98, 76.34, , , FIN, , , , , , , , , , , 
Bakke,  Emma, 99, 74.59, , , NOR, , , , , , , , , , , 
Petrig,  Celia, 100, 73.94,  | , 25, SUI, , Goofy, , Trachslau, , , , , , , 
Scheidegger,  Yuna, 101, 72.52, , , SUI, Switzerland, , , , , , , , , , 
Hanicova,  Eva, 102, 69.1, , , SVK, Slovakia, , , , , , , , , , 
Bosanac,  Mia, 103, 68.67, , , CRO, CRO, , , , , , , , , , 
Bischof,  Babet, 104, 68.31, , 20, SUI, Switzerland, Regular, , Chur, Davos| switzerland, , , , , , 
Irhina,  Elizaveta, 105, 66.8, , , RUS, Russian Federation, , , , , , , , , , 
Arvanitidou,  Eleni, 106, 66.45, , , GRE, GRE, , , , , , , , , , 
Da Silva,  Aroa, 107, 65.66, , , ESP, Spain, , , , , , , , , , 
Pizzutto,  Matilde, 108, 62.54, , , ITA, Italy, , , , , , , , , , 
Duchow,  Ellie, 109, 60.81, , , USA, United States, , , , , , , , , , 
Nerandzic,  Nadja, 110, 58.09, , , SRB, Serbia, , , , , , , , , , 
Tanno,  Livia, 111, 57.4, , 18, SUI, Switzerland, Regular, , , , , , , , , 
Gardner,  Addison, 112, 57.28, , , USA, United States, , , , , , , , , , 
Li,  Dongyu, 113, 56.13, , , CHN, China, , , , , , , , , , 
Kristiansen Rue,  Andrea, 114, 54.58, , , NOR, Norway, , , , , , , , , , 
Moroco,  Alyssa, 115, 54.1, , , USA, United States, , , , , , , , , , 
Malinauskaite,  Guoda Saule, 116, 53.95, , , LTU, Lithuania, , , , , , , , , , 
Hill,  Maisie, 117, 50.87, , 19, GBR, United Kingdom, , , , , , , , , , 
Abou,  Lola, 118, 49.72, , 22, FRA, France, Goofy, , , , , , , , , 
Hahnl,  Laura, 119, 47.3, , , GER, Germany, , , , , , , , , , 
Kalinovska,  Tina, 120, 47.22, , , LAT, LAT, , , , , , , , , , 
Pecanin,  Uma, 121, 45.04, , , BIH, Bosnia and Herzegovina, , , , , , , , , , 
Rue,  Thea Christine, 122, 43.65, , , NOR, Norway, , , , , , , , , , 
Sarkipaju,  Telma, 123, 43.49, , , FIN, Finland, , , , , , , , , , 
Vachet,  Gaia, 124, 42.45, , , ITA, Italy, , , , , , , , , , 
